M.D_b.DIC Time [a],M.D_b.DIC DIC [mol/kg]
14.083333333333332,0.0022950623842072173
14.166666666666666,0.002295062394916282
14.25,0.0022950624056912337
14.333333333333332,0.0022950624165320394
14.416666666666666,0.0022950624274386665
14.5,0.0022950624384110814
14.583333333333332,0.0022950624494492513
14.666666666666666,0.0022950624605531434
14.75,0.002295062471722725
14.833333333333332,0.002295062482957963
14.916666666666666,0.002295062494258824
15.0,0.002295062505625275
15.083333333333332,0.002295062517057284
15.166666666666666,0.0022950625285548176
15.25,0.002295062540117843
15.333333333333332,0.0022950625517463266
15.416666666666666,0.0022950625634402364
15.5,0.0022950625751995395
15.583333333333332,0.0022950625870242027
15.666666666666666,0.0022950625989141935
15.75,0.0022950626108694788
15.833333333333332,0.0022950626228900256
15.916666666666666,0.0022950626349758016
16.0,0.0022950626471267737
