M.L_b.HCO3 Time [a],M.L_b.HCO3 HCO3 [mol/kg]
13.75,0.0016955771200668126
13.833333333333332,0.0016955783507457906
13.916666666666666,0.0016955795809180268
14.0,0.0016955808105839731
14.083333333333332,0.0016955820397440951
14.166666666666666,0.001695583268398868
14.25,0.0016955844965487765
14.333333333333332,0.001695585724194309
14.416666666666666,0.0016955869513359582
14.5,0.0016955881779742179
14.583333333333332,0.001695589404109582
14.666666666666666,0.001695590629742543
14.75,0.0016955918548735883
14.833333333333332,0.0016955930795032033
14.916666666666666,0.0016955943036318672
15.0,0.0016955955272600523
15.083333333333332,0.0016955967503882248
15.166666666666666,0.0016955979730168438
15.25,0.001695599195146359
15.333333333333332,0.0016956004167772128
15.416666666666666,0.0016956016379098397
15.5,0.001695602858544663
15.583333333333332,0.0016956040786820993
15.666666666666666,0.0016956052983225565
15.75,0.0016956065174664311
