M.L_b.CO2aq Time [a],M.L_b.CO2aq CO2aq [mol/kg]
289800.0,8.6369606631409e-06
289900.0,8.636960663140905e-06
290000.0,8.636960663140898e-06
290100.0,8.6369606631409e-06
290200.0,8.6369606631409e-06
290300.0,8.636960663140898e-06
290400.0,8.636960663140896e-06
290500.0,8.636960663140901e-06
290600.0,8.636960663140896e-06
290700.0,8.636960663140898e-06
290800.0,8.636960663140896e-06
290900.0,8.636960663140903e-06
291000.0,8.6369606631409e-06
291100.0,8.636960663140901e-06
291200.0,8.636960663140898e-06
291300.0,8.636960663140901e-06
291400.0,8.636960663140898e-06
291500.0,8.636960663140901e-06
291600.0,8.636960663140896e-06
291700.0,8.636960663140898e-06
291800.0,8.636960663140896e-06
291900.0,8.6369606631409e-06
292000.0,8.636960663140898e-06
292100.0,8.636960663140901e-06
292200.0,8.636960663140896e-06
292300.0,8.636960663140898e-06
292400.0,8.636960663140903e-06
292500.0,8.636960663140898e-06
292600.0,8.636960663140901e-06
292700.0,8.636960663140898e-06
292800.0,8.636960663140901e-06
292900.0,8.636960663140896e-06
293000.0,8.636960663140903e-06
293100.0,8.636960663140898e-06
293200.0,8.636960663140901e-06
293300.0,8.636960663140896e-06
293400.0,8.636960663140901e-06
293500.0,8.636960663140896e-06
293600.0,8.636960663140896e-06
293700.0,8.636960663140896e-06
293800.0,8.636960663140903e-06
293900.0,8.636960663140898e-06
294000.0,8.636960663140901e-06
294100.0,8.636960663140896e-06
294200.0,8.636960663140898e-06
294300.0,8.636960663140898e-06
294400.0,8.636960663140898e-06
294500.0,8.636960663140896e-06
294600.0,8.636960663140898e-06
294700.0,8.636960663140903e-06
294800.0,8.6369606631409e-06
294900.0,8.636960663140903e-06
295000.0,8.6369606631409e-06
295100.0,8.636960663140903e-06
295200.0,8.636960663140901e-06
295300.0,8.6369606631409e-06
295400.0,8.636960663140898e-06
295500.0,8.636960663140898e-06
295600.0,8.636960663140901e-06
295700.0,8.636960663140896e-06
295800.0,8.636960663140898e-06
295900.0,8.636960663140894e-06
296000.0,8.6369606631409e-06
296100.0,8.636960663140896e-06
296200.0,8.636960663140896e-06
296300.0,8.636960663140901e-06
296400.0,8.636960663140896e-06
296500.0,8.6369606631409e-06
296600.0,8.636960663140898e-06
296700.0,8.6369606631409e-06
296800.0,8.636960663140896e-06
296900.0,8.6369606631409e-06
297000.0,8.636960663140901e-06
297100.0,8.636960663140901e-06
297200.0,8.6369606631409e-06
297300.0,8.636960663140901e-06
297400.0,8.636960663140896e-06
297500.0,8.636960663140901e-06
297600.0,8.6369606631409e-06
297700.0,8.6369606631409e-06
297800.0,8.6369606631409e-06
297900.0,8.6369606631409e-06
298000.0,8.636960663140894e-06
298100.0,8.6369606631409e-06
298200.0,8.636960663140896e-06
298300.0,8.636960663140901e-06
298400.0,8.636960663140898e-06
298500.0,8.636960663140898e-06
298600.0,8.636960663140901e-06
298700.0,8.636960663140898e-06
298800.0,8.636960663140901e-06
