M.D_b.pH Time [a],M.D_b.pH pH [mol/kg]
494100.0,7.912284890262849
494200.0,7.91228489026285
494300.0,7.912284890262849
494400.0,7.91228489026285
494500.0,7.912284890262849
494600.0,7.91228489026285
494700.0,7.912284890262849
494800.0,7.91228489026285
494900.0,7.912284890262849
495000.0,7.91228489026285
495100.0,7.912284890262849
495200.0,7.91228489026285
495300.0,7.912284890262849
495400.0,7.91228489026285
495500.0,7.912284890262849
495600.0,7.91228489026285
495700.0,7.912284890262849
495800.0,7.91228489026285
495900.0,7.912284890262849
496000.0,7.91228489026285
496100.0,7.912284890262849
496200.0,7.91228489026285
496300.0,7.912284890262849
496400.0,7.91228489026285
496500.0,7.912284890262849
496600.0,7.91228489026285
496700.0,7.912284890262849
496800.0,7.91228489026285
496900.0,7.912284890262849
497000.0,7.91228489026285
497100.0,7.912284890262849
497200.0,7.91228489026285
497300.0,7.912284890262849
497400.0,7.91228489026285
497500.0,7.912284890262849
497600.0,7.91228489026285
497700.0,7.912284890262849
497800.0,7.91228489026285
497900.0,7.912284890262849
498000.0,7.91228489026285
498100.0,7.912284890262849
498200.0,7.91228489026285
498300.0,7.912284890262849
498400.0,7.91228489026285
498500.0,7.912284890262849
498600.0,7.91228489026285
498700.0,7.912284890262849
498800.0,7.91228489026285
498900.0,7.912284890262849
499000.0,7.91228489026285
499100.0,7.912284890262849
499200.0,7.91228489026285
499300.0,7.912284890262849
499400.0,7.91228489026285
499500.0,7.912284890262849
499600.0,7.91228489026285
499700.0,7.912284890262849
499800.0,7.91228489026285
499900.0,7.912284890262849
500000.0,7.91228489026285
500100.0,7.912284890262849
500200.0,7.91228489026285
500300.0,7.912284890262849
500400.0,7.91228489026285
500500.0,7.912284890262849
500600.0,7.91228489026285
500700.0,7.912284890262849
500800.0,7.91228489026285
500900.0,7.912284890262849
501000.0,7.91228489026285
501100.0,7.912284890262849
501200.0,7.91228489026285
501300.0,7.912284890262849
501400.0,7.91228489026285
501500.0,7.912284890262849
501600.0,7.91228489026285
501700.0,7.912284890262849
501800.0,7.91228489026285
501900.0,7.912284890262849
502000.0,7.91228489026285
502100.0,7.912284890262849
502200.0,7.91228489026285
502300.0,7.912284890262849
502400.0,7.91228489026285
502500.0,7.912284890262849
502600.0,7.91228489026285
502700.0,7.912284890262849
502800.0,7.91228489026285
502900.0,7.912284890262849
503000.0,7.91228489026285
503100.0,7.912284890262849
503200.0,7.91228489026285
503300.0,7.912284890262849
503400.0,7.91228489026285
503500.0,7.912284890262849
503600.0,7.91228489026285
503700.0,7.912284890262849
503800.0,7.91228489026285
503900.0,7.912284890262849
504000.0,7.91228489026285
504100.0,7.912284890262849
504200.0,7.91228489026285
504300.0,7.912284890262849
504400.0,7.91228489026285
504500.0,7.912284890262849
504600.0,7.91228489026285
504700.0,7.912284890262849
504800.0,7.91228489026285
504900.0,7.912284890262849
505000.0,7.91228489026285
505100.0,7.912284890262849
505200.0,7.91228489026285
505300.0,7.912284890262849
505400.0,7.91228489026285
505500.0,7.912284890262849
505600.0,7.91228489026285
505700.0,7.912284890262849
505800.0,7.91228489026285
505900.0,7.912284890262849
506000.0,7.91228489026285
506100.0,7.912284890262849
506200.0,7.91228489026285
506300.0,7.912284890262849
506400.0,7.91228489026285
506500.0,7.912284890262849
506600.0,7.91228489026285
506700.0,7.912284890262849
506800.0,7.91228489026285
506900.0,7.912284890262849
507000.0,7.91228489026285
507100.0,7.912284890262849
507200.0,7.91228489026285
507300.0,7.912284890262849
507400.0,7.91228489026285
507500.0,7.912284890262849
507600.0,7.91228489026285
507700.0,7.912284890262849
507800.0,7.91228489026285
507900.0,7.912284890262849
508000.0,7.91228489026285
508100.0,7.912284890262849
508200.0,7.91228489026285
508300.0,7.912284890262849
508400.0,7.91228489026285
508500.0,7.912284890262849
508600.0,7.91228489026285
508700.0,7.912284890262849
508800.0,7.91228489026285
508900.0,7.912284890262849
509000.0,7.91228489026285
509100.0,7.912284890262849
509200.0,7.91228489026285
509300.0,7.912284890262849
509400.0,7.91228489026285
509500.0,7.912284890262849
509600.0,7.91228489026285
509700.0,7.912284890262849
509800.0,7.91228489026285
509900.0,7.912284890262849
510000.0,7.91228489026285
510100.0,7.912284890262849
510200.0,7.91228489026285
510300.0,7.912284890262849
510400.0,7.91228489026285
510500.0,7.912284890262849
510600.0,7.91228489026285
510700.0,7.912284890262849
510800.0,7.91228489026285
510900.0,7.912284890262849
511000.0,7.91228489026285
511100.0,7.912284890262849
511200.0,7.91228489026285
511300.0,7.912284890262849
511400.0,7.91228489026285
511500.0,7.912284890262849
511600.0,7.91228489026285
511700.0,7.912284890262849
511800.0,7.91228489026285
511900.0,7.912284890262849
512000.0,7.91228489026285
512100.0,7.912284890262849
512200.0,7.91228489026285
512300.0,7.912284890262849
