M.D_b.Fburial Time [a],M.D_b.Fburial Fburial [mol/kg]
74700.0,11999988941180.14
74800.0,11999989113677.39
74900.0,11999989283483.922
75000.0,11999989450641.86
75100.0,11999989615192.469
75200.0,11999989777176.375
75300.0,11999989936633.766
75400.0,11999990093603.79
75500.0,11999990248125.281
75600.0,11999990400236.516
75700.0,11999990549975.125
75800.0,11999990697378.234
75900.0,11999990842482.047
76000.0,11999990985322.516
76100.0,11999991125934.719
76200.0,11999991264353.797
76300.0,11999991400613.906
76400.0,11999991534748.453
76500.0,11999991666790.727
76600.0,11999991796773.312
76700.0,11999991924728.688
76800.0,11999992050688.156
76900.0,11999992174682.625
77000.0,11999992296743.25
77100.0,11999992416899.992
77200.0,11999992535182.328
77300.0,11999992651619.625
77400.0,11999992766240.875
77500.0,11999992879074.25
77600.0,11999992990147.422
77700.0,11999993099488.32
77800.0,11999993207123.547
77900.0,11999993313079.96
78000.0,11999993417383.602
78100.0,11999993520060.227
78200.0,11999993621135.219
78300.0,11999993720633.875
78400.0,11999993818580.453
78500.0,11999993914999.04
78600.0,11999994009913.852
78700.0,11999994103348.21
78800.0,11999994195325.234
78900.0,11999994285867.508
79000.0,11999994374997.36
79100.0,11999994462737.172
79200.0,11999994549108.281
79300.0,11999994634132.14
79400.0,11999994717829.828
79500.0,11999994800221.96
79600.0,11999994881328.992
79700.0,11999994961170.531
79800.0,11999995039767.266
79900.0,11999995117137.656
80000.0,11999995193301.281
80100.0,11999995268276.828
80200.0,11999995342082.922
80300.0,11999995414737.906
80400.0,11999995486259.64
80500.0,11999995556665.695
80600.0,11999995625973.438
80700.0,11999995694200.312
80800.0,11999995761362.734
80900.0,11999995827477.672
81000.0,11999995892561.344
81100.0,11999995956629.906
81200.0,11999996019698.953
81300.0,11999996081784.445
81400.0,11999996142901.43
81500.0,11999996203065.055
81600.0,11999996262290.219
81700.0,11999996320591.64
81800.0,11999996377983.523
81900.0,11999996434480.469
82000.0,11999996490095.781
82100.0,11999996544844.062
82200.0,11999996598737.992
82300.0,11999996651791.29
82400.0,11999996704017.25
82500.0,11999996755428.61
82600.0,11999996806037.938
82700.0,11999996855857.852
82800.0,11999996904900.555
82900.0,11999996953178.492
83000.0,11999997000703.219
83100.0,11999997047486.766
83200.0,11999997093540.547
83300.0,11999997138875.953
83400.0,11999997183504.234
83500.0,11999997227436.5
83600.0,11999997270683.312
83700.0,11999997313255.516
83800.0,11999997355163.719
83900.0,11999997396418.344
84000.0,11999997437029.477
84100.0,11999997477007.023
84200.0,11999997516361.258
84300.0,11999997555101.297
84400.0,11999997593237.375
84500.0,11999997630778.36
84600.0,11999997667733.984
84700.0,11999997704113.203
84800.0,11999997739924.875
84900.0,11999997775177.71
85000.0,11999997809880.766
85100.0,11999997844042.664
85200.0,11999997877671.61
85300.0,11999997910775.992
85400.0,11999997943364.031
85500.0,11999997975443.75
85600.0,11999998007022.969
85700.0,11999998038109.75
85800.0,11999998068711.64
85900.0,11999998098836.172
86000.0,11999998128490.875
86100.0,11999998157682.953
86200.0,11999998186419.797
86300.0,11999998214708.203
86400.0,11999998242555.547
86500.0,11999998269968.375
86600.0,11999998296953.734
86700.0,11999998323518.078
86800.0,11999998349668.14
86900.0,11999998375410.312
87000.0,11999998400750.828
87100.0,11999998425696.172
87200.0,11999998450252.484
87300.0,11999998474425.656
87400.0,11999998498221.648
87500.0,11999998521646.586
87600.0,11999998544706.203
87700.0,11999998567405.938
87800.0,11999998589751.781
87900.0,11999998611749.0
88000.0,11999998633403.11
88100.0,11999998654719.68
88200.0,11999998675703.562
88300.0,11999998696360.172
88400.0,11999998716694.5
88500.0,11999998736711.64
88600.0,11999998756416.758
88700.0,11999998775814.422
88800.0,11999998794909.32
88900.0,11999998813706.578
89000.0,11999998832210.68
89100.0,11999998850426.062
89200.0,11999998868357.086
89300.0,11999998886008.805
89400.0,11999998903385.016
89500.0,11999998920490.164
89600.0,11999998937328.742
89700.0,11999998953904.336
89800.0,11999998970221.375
89900.0,11999998986284.11
90000.0,11999999002096.11
90100.0,11999999017661.625
90200.0,11999999032984.172
90300.0,11999999048068.203
90400.0,11999999062916.36
90500.0,11999999077533.156
90600.0,11999999091922.07
90700.0,11999999106086.422
90800.0,11999999120029.938
90900.0,11999999133755.867
91000.0,11999999147267.61
91100.0,11999999160568.586
91200.0,11999999173662.172
91300.0,11999999186551.57
91400.0,11999999199239.797
91500.0,11999999211730.273
91600.0,11999999224025.672
91700.0,11999999236129.406
91800.0,11999999248044.648
91900.0,11999999259773.656
92000.0,11999999271319.89
92100.0,11999999282686.008
92200.0,11999999293874.71
92300.0,11999999304889.023
92400.0,11999999315731.578
92500.0,11999999326404.938
92600.0,11999999336911.805
92700.0,11999999347254.672
92800.0,11999999357436.273
92900.0,11999999367459.125
93000.0,11999999377325.555
93100.0,11999999387038.188
93200.0,11999999396599.383
93300.0,11999999406011.219
93400.0,11999999415276.36
93500.0,11999999424397.086
93600.0,11999999433375.242
93700.0,11999999442213.781
93800.0,11999999450914.11
93900.0,11999999459478.898
94000.0,11999999467909.86
94100.0,11999999476209.617
94200.0,11999999484379.695
94300.0,11999999492422.352
94400.0,11999999500339.672
94500.0,11999999508133.64
94600.0,11999999515805.75
94700.0,11999999523358.266
94800.0,11999999530792.969
94900.0,11999999538111.719
95000.0,11999999545316.258
95100.0,11999999552408.469
95200.0,11999999559390.203
95300.0,11999999566262.836
95400.0,11999999573028.375
95500.0,11999999579688.258
95600.0,11999999586244.312
95700.0,11999999592698.172
95800.0,11999999599051.312
95900.0,11999999605305.406
96000.0,11999999611461.938
96100.0,11999999617522.422
96200.0,11999999623488.422
96300.0,11999999629361.21
96400.0,11999999635142.352
96500.0,11999999640833.531
96600.0,11999999646435.781
96700.0,11999999651950.766
96800.0,11999999657379.578
96900.0,11999999662723.883
97000.0,11999999667984.922
97100.0,11999999673163.805
97200.0,11999999678261.64
97300.0,11999999683280.031
97400.0,11999999688220.406
97500.0,11999999693083.719
97600.0,11999999697871.125
97700.0,11999999702583.828
97800.0,11999999707222.93
97900.0,11999999711789.578
98000.0,11999999716285.07
98100.0,11999999720710.578
98200.0,11999999725066.86
98300.0,11999999729355.344
98400.0,11999999733576.96
98500.0,11999999737732.61
98600.0,11999999741823.594
98700.0,11999999745850.578
98800.0,11999999749814.836
98900.0,11999999753717.148
99000.0,11999999757558.64
99100.0,11999999761340.242
99200.0,11999999765062.953
99300.0,11999999768727.46
99400.0,11999999772334.953
99500.0,11999999775886.156
99600.0,11999999779381.734
99700.0,11999999782823.062
99800.0,11999999786210.61
99900.0,11999999789545.516
100000.0,11999999792828.031
100100.0,11999999796059.61
100200.0,11999999799240.61
100300.0,11999999802371.984
100400.0,11999999805454.547
100500.0,11999999808489.078
100600.0,11999999811476.328
100700.0,11999999814417.023
100800.0,11999999817311.766
100900.0,11999999820161.352
101000.0,11999999822966.633
101100.0,11999999825727.96
101200.0,11999999828446.352
101300.0,11999999831122.25
101400.0,11999999833756.594
101500.0,11999999836349.523
101600.0,11999999838902.234
101700.0,11999999841414.938
101800.0,11999999843888.602
101900.0,11999999846323.96
102000.0,11999999848720.86
102100.0,11999999851080.469
102200.0,11999999853403.29
102300.0,11999999855690.062
102400.0,11999999857941.148
102500.0,11999999860156.922
102600.0,11999999862338.21
102700.0,11999999864485.586
102800.0,11999999866599.328
102900.0,11999999868680.164
103000.0,11999999870728.492
103100.0,11999999872744.797
103200.0,11999999874729.852
103300.0,11999999876683.797
103400.0,11999999878607.375
103500.0,11999999880500.688
103600.0,11999999882364.742
103700.0,11999999884199.727
103800.0,11999999886006.031
103900.0,11999999887784.062
104000.0,11999999889534.562
104100.0,11999999891257.594
104200.0,11999999892953.75
104300.0,11999999894623.46
104400.0,11999999896267.133
104500.0,11999999897885.055
104600.0,11999999899477.914
104700.0,11999999901045.938
104800.0,11999999902589.64
104900.0,11999999904109.023
105000.0,11999999905604.633
105100.0,11999999907077.031
105200.0,11999999908526.469
105300.0,11999999909953.36
105400.0,11999999911357.766
105500.0,11999999912740.422
105600.0,11999999914101.727
105700.0,11999999915441.445
105800.0,11999999916760.5
105900.0,11999999918058.867
106000.0,11999999919336.938
106100.0,11999999920595.18
106200.0,11999999921833.79
106300.0,11999999923053.031
106400.0,11999999924253.203
106500.0,11999999925434.734
106600.0,11999999926597.766
106700.0,11999999927742.594
106800.0,11999999928869.672
