M.L_b.Hplus Time [a],M.L_b.Hplus Hplus [mol/kg]
384910.0,5.395015419940609e-09
384920.0,5.395015419940609e-09
384930.0,5.395015419940609e-09
384940.0,5.395015419940609e-09
384950.0,5.395015419940609e-09
384960.0,5.395015419940609e-09
384970.0,5.395015419940609e-09
384980.0,5.395015419940609e-09
384990.0,5.395015419940609e-09
385000.0,5.395015419940609e-09
385010.0,5.395015419940609e-09
385020.0,5.395015419940609e-09
385030.0,5.395015419940609e-09
385040.0,5.395015419940609e-09
385050.0,5.395015419940609e-09
385060.0,5.395015419940609e-09
385070.0,5.395015419940609e-09
385080.0,5.395015419940609e-09
385090.0,5.395015419940609e-09
385100.0,5.395015419940609e-09
385110.0,5.395015419940609e-09
385120.0,5.395015419940609e-09
385130.0,5.395015419940609e-09
385140.0,5.395015419940609e-09
385150.0,5.395015419940609e-09
385160.0,5.395015419940609e-09
385170.0,5.395015419940609e-09
385180.0,5.395015419940609e-09
385190.0,5.395015419940609e-09
385200.0,5.395015419940609e-09
385210.0,5.395015419940609e-09
385220.0,5.395015419940609e-09
385230.0,5.395015419940609e-09
385240.0,5.395015419940609e-09
385250.0,5.395015419940609e-09
385260.0,5.395015419940609e-09
385270.0,5.395015419940609e-09
385280.0,5.395015419940609e-09
385290.0,5.395015419940609e-09
385300.0,5.395015419940609e-09
385310.0,5.395015419940609e-09
385320.0,5.395015419940609e-09
385330.0,5.395015419940609e-09
385340.0,5.395015419940609e-09
385350.0,5.395015419940609e-09
385360.0,5.395015419940609e-09
385370.0,5.395015419940609e-09
385380.0,5.395015419940609e-09
385390.0,5.395015419940609e-09
385400.0,5.395015419940609e-09
385410.0,5.395015419940609e-09
385420.0,5.395015419940609e-09
385430.0,5.395015419940609e-09
385440.0,5.395015419940609e-09
385450.0,5.395015419940609e-09
385460.0,5.395015419940609e-09
385470.0,5.395015419940609e-09
385480.0,5.395015419940609e-09
385490.0,5.395015419940609e-09
385500.0,5.395015419940609e-09
385510.0,5.395015419940609e-09
385520.0,5.395015419940609e-09
385530.0,5.395015419940609e-09
385540.0,5.395015419940609e-09
385550.0,5.395015419940609e-09
385560.0,5.395015419940609e-09
385570.0,5.395015419940609e-09
385580.0,5.395015419940609e-09
385590.0,5.395015419940609e-09
385600.0,5.395015419940609e-09
385610.0,5.395015419940609e-09
385620.0,5.395015419940609e-09
385630.0,5.395015419940609e-09
385640.0,5.395015419940609e-09
385650.0,5.395015419940609e-09
385660.0,5.395015419940609e-09
385670.0,5.395015419940609e-09
385680.0,5.395015419940609e-09
385690.0,5.395015419940609e-09
385700.0,5.395015419940609e-09
385710.0,5.395015419940609e-09
385720.0,5.395015419940609e-09
385730.0,5.395015419940609e-09
385740.0,5.395015419940609e-09
385750.0,5.395015419940609e-09
385760.0,5.395015419940609e-09
385770.0,5.395015419940609e-09
385780.0,5.395015419940609e-09
385790.0,5.395015419940609e-09
385800.0,5.395015419940609e-09
385810.0,5.395015419940609e-09
385820.0,5.395015419940609e-09
385830.0,5.395015419940609e-09
385840.0,5.395015419940609e-09
385850.0,5.395015419940609e-09
385860.0,5.395015419940609e-09
385870.0,5.395015419940609e-09
385880.0,5.395015419940609e-09
385890.0,5.395015419940609e-09
385900.0,5.395015419940609e-09
385910.0,5.395015419940609e-09
385920.0,5.395015419940609e-09
385930.0,5.395015419940609e-09
385940.0,5.395015419940609e-09
385950.0,5.395015419940609e-09
385960.0,5.395015419940609e-09
385970.0,5.395015419940609e-09
385980.0,5.395015419940609e-09
385990.0,5.395015419940609e-09
386000.0,5.395015419940609e-09
386010.0,5.395015419940609e-09
386020.0,5.395015419940609e-09
386030.0,5.395015419940609e-09
386040.0,5.395015419940609e-09
386050.0,5.395015419940609e-09
386060.0,5.395015419940609e-09
386070.0,5.395015419940609e-09
386080.0,5.395015419940609e-09
386090.0,5.395015419940609e-09
386100.0,5.395015419940609e-09
386110.0,5.395015419940609e-09
386120.0,5.395015419940609e-09
386130.0,5.395015419940609e-09
386140.0,5.395015419940609e-09
386150.0,5.395015419940609e-09
386160.0,5.395015419940609e-09
386170.0,5.395015419940609e-09
386180.0,5.395015419940609e-09
386190.0,5.395015419940609e-09
386200.0,5.395015419940609e-09
386210.0,5.395015419940609e-09
386220.0,5.395015419940609e-09
386230.0,5.395015419940609e-09
386240.0,5.395015419940609e-09
386250.0,5.395015419940609e-09
386260.0,5.395015419940609e-09
386270.0,5.395015419940609e-09
386280.0,5.395015419940609e-09
386290.0,5.395015419940609e-09
386300.0,5.395015419940609e-09
386310.0,5.395015419940609e-09
386320.0,5.395015419940609e-09
386330.0,5.395015419940609e-09
386340.0,5.395015419940609e-09
386350.0,5.395015419940609e-09
386360.0,5.395015419940609e-09
386370.0,5.395015419940609e-09
386380.0,5.395015419940609e-09
386390.0,5.395015419940609e-09
386400.0,5.395015419940609e-09
386410.0,5.395015419940609e-09
386420.0,5.395015419940609e-09
386430.0,5.395015419940609e-09
386440.0,5.395015419940609e-09
386450.0,5.395015419940609e-09
386460.0,5.395015419940609e-09
386470.0,5.395015419940609e-09
386480.0,5.395015419940609e-09
386490.0,5.395015419940609e-09
386500.0,5.395015419940609e-09
386510.0,5.395015419940609e-09
386520.0,5.395015419940609e-09
386530.0,5.395015419940609e-09
386540.0,5.395015419940609e-09
386550.0,5.395015419940609e-09
386560.0,5.395015419940609e-09
386570.0,5.395015419940609e-09
386580.0,5.395015419940609e-09
386590.0,5.395015419940609e-09
386600.0,5.395015419940609e-09
386610.0,5.395015419940609e-09
386620.0,5.395015419940609e-09
386630.0,5.395015419940609e-09
386640.0,5.395015419940609e-09
386650.0,5.395015419940609e-09
386660.0,5.395015419940609e-09
386670.0,5.395015419940609e-09
386680.0,5.395015419940609e-09
386690.0,5.395015419940609e-09
386700.0,5.395015419940609e-09
386710.0,5.395015419940609e-09
386720.0,5.395015419940609e-09
386730.0,5.395015419940609e-09
386740.0,5.395015419940609e-09
386750.0,5.395015419940609e-09
386760.0,5.395015419940609e-09
386770.0,5.395015419940609e-09
386780.0,5.395015419940609e-09
386790.0,5.395015419940609e-09
386800.0,5.395015419940609e-09
386810.0,5.395015419940609e-09
386820.0,5.395015419940609e-09
386830.0,5.395015419940609e-09
386840.0,5.395015419940609e-09
386850.0,5.395015419940609e-09
386860.0,5.395015419940609e-09
386870.0,5.395015419940609e-09
386880.0,5.395015419940609e-09
386890.0,5.395015419940609e-09
386900.0,5.395015419940609e-09
386910.0,5.395015419940609e-09
386920.0,5.395015419940609e-09
386930.0,5.395015419940609e-09
386940.0,5.395015419940609e-09
386950.0,5.395015419940609e-09
386960.0,5.395015419940609e-09
386970.0,5.395015419940609e-09
386980.0,5.395015419940609e-09
386990.0,5.395015419940609e-09
387000.0,5.395015419940609e-09
387010.0,5.395015419940609e-09
387020.0,5.395015419940609e-09
387030.0,5.395015419940609e-09
387040.0,5.395015419940609e-09
387050.0,5.395015419940609e-09
387060.0,5.395015419940609e-09
387070.0,5.395015419940609e-09
387080.0,5.395015419940609e-09
387090.0,5.395015419940609e-09
387100.0,5.395015419940609e-09
387110.0,5.395015419940609e-09
387120.0,5.395015419940609e-09
387130.0,5.395015419940609e-09
387140.0,5.395015419940609e-09
387150.0,5.395015419940609e-09
387160.0,5.395015419940609e-09
387170.0,5.395015419940609e-09
387180.0,5.395015419940609e-09
387190.0,5.395015419940609e-09
387200.0,5.395015419940609e-09
387210.0,5.395015419940609e-09
387220.0,5.395015419940609e-09
387230.0,5.395015419940609e-09
387240.0,5.395015419940609e-09
387250.0,5.395015419940609e-09
387260.0,5.395015419940609e-09
387270.0,5.395015419940609e-09
387280.0,5.395015419940609e-09
387290.0,5.395015419940609e-09
387300.0,5.395015419940609e-09
387310.0,5.395015419940609e-09
387320.0,5.395015419940609e-09
387330.0,5.395015419940609e-09
387340.0,5.395015419940609e-09
387350.0,5.395015419940609e-09
387360.0,5.395015419940609e-09
387370.0,5.395015419940609e-09
387380.0,5.395015419940609e-09
387390.0,5.395015419940609e-09
387400.0,5.395015419940609e-09
387410.0,5.395015419940609e-09
387420.0,5.395015419940609e-09
387430.0,5.395015419940609e-09
387440.0,5.395015419940609e-09
