M.L_b.DIC Time [a],M.L_b.DIC DIC [mol/kg]
7000.0,0.0019403983243435473
7100.0,0.0019404074445712005
7200.0,0.001940416430373726
7300.0,0.0019404253012525654
7400.0,0.0019404340330512967
7500.0,0.001940442604642398
7600.0,0.0019404510416044473
7700.0,0.0019404594005182627
7800.0,0.0019404676277626335
7900.0,0.001940475687209558
8000.0,0.0019404836055858265
8100.0,0.0019404914697759663
8200.0,0.0019404992215151502
8300.0,0.0019405068099464658
8400.0,0.0019405142732320593
8500.0,0.0019405216280741345
8600.0,0.0019405289302729324
8700.0,0.001940536087779697
8800.0,0.001940543123672544
8900.0,0.0019405500499702678
9000.0,0.0019405568685847271
9100.0,0.0019405636088264753
9200.0,0.0019405702496764665
9300.0,0.0019405767837137992
9400.0,0.0019405832129555567
9500.0,0.001940589530324716
9600.0,0.0019405957270516338
9700.0,0.001940601893946866
9800.0,0.0019406079685906942
9900.0,0.0019406139426872797
10000.0,0.0019406198050716693
10100.0,0.0019406255463814924
10200.0,0.0019406311981602985
10300.0,0.0019406368346924874
10400.0,0.0019406423934495171
10500.0,0.0019406478552034085
10600.0,0.0019406531927691373
10700.0,0.0019406584393327749
10800.0,0.0019406636065159688
10900.0,0.001940668704591135
11000.0,0.0019406737912007939
11100.0,0.0019406787900889595
11200.0,0.0019406836736646875
11300.0,0.0019406884732657856
11400.0,0.0019406932009950746
11500.0,0.0019406978572101342
11600.0,0.0019407024411329569
11700.0,0.0019407069837621316
11800.0,0.001940711470215497
11900.0,0.0019407158725203454
12000.0,0.0019407202038994819
12100.0,0.001940724467498694
12200.0,0.0019407286638900556
12300.0,0.0019407327943401615
12400.0,0.001940736859653692
12500.0,0.0019407408222791838
12600.0,0.0019407447771995865
12700.0,0.001940748695426569
12800.0,0.0019407525485736537
12900.0,0.0019407563381909606
13000.0,0.001940760066020321
13100.0,0.0019407637342485134
13200.0,0.0019407673396345403
13300.0,0.0019407708553615243
13400.0,0.0019407743080110897
13500.0,0.0019407777118028722
13600.0,0.0019407811250532977
13700.0,0.001940784507093714
13800.0,0.0019407878296288689
13900.0,0.0019407910959848504
14000.0,0.0019407943090617964
14100.0,0.0019407974624446737
14200.0,0.0019408005339121342
14300.0,0.0019408035512626881
14400.0,0.0019408065262301688
14500.0,0.0019408094586532863
14600.0,0.001940812346667304
14700.0,0.0019408151931558336
14800.0,0.0019408180643876148
14900.0,0.001940820897781422
15000.0,0.0019408236784575208
15100.0,0.001940826411751927
15200.0,0.0019408290681900589
15300.0,0.0019408316674386838
15400.0,0.0019408342290824028
15500.0,0.0019408367555129697
15600.0,0.00194083924448346
15700.0,0.00194084169498109
15800.0,0.0019408441072565025
15900.0,0.0019408464818909167
16000.0,0.0019408488194112823
16100.0,0.0019408511203931013
16200.0,0.001940853431215991
16300.0,0.0019408557407992848
16400.0,0.0019408579825100462
16500.0,0.0019408601653800811
16600.0,0.0019408623126429057
16700.0,0.0019408644285640643
16800.0,0.0019408665128572316
16900.0,0.0019408685650028745
17000.0,0.0019408705851408675
17100.0,0.0019408725737155906
17200.0,0.001940874531205241
17300.0,0.001940876458078737
17400.0,0.0019408783547559068
17500.0,0.0019408802217078728
17600.0,0.0019408820594203646
17700.0,0.00194088386836066
17800.0,0.0019408856489744133
17900.0,0.001940887379230364
18000.0,0.0019408890749203075
18100.0,0.00194089081216792
18200.0,0.0019408925234749637
18300.0,0.0019408942028274457
18400.0,0.0019408958537333303
18500.0,0.0019408974773068475
18600.0,0.0019408990743884139
18700.0,0.0019409006459252909
