M.D_b.CO3 Time [a],M.D_b.CO3 CO3 [mol/kg]
326400.0,8.739742102613795e-05
326500.0,8.739742102613791e-05
326600.0,8.739742102613777e-05
326700.0,8.739742102613796e-05
326800.0,8.739742102613791e-05
326900.0,8.739742102613779e-05
327000.0,8.739742102613798e-05
327100.0,8.73974210261379e-05
327200.0,8.739742102613777e-05
327300.0,8.739742102613798e-05
327400.0,8.73974210261379e-05
327500.0,8.739742102613777e-05
327600.0,8.739742102613796e-05
327700.0,8.739742102613791e-05
327800.0,8.739742102613776e-05
327900.0,8.739742102613796e-05
328000.0,8.739742102613791e-05
328100.0,8.739742102613779e-05
328200.0,8.739742102613798e-05
328300.0,8.739742102613791e-05
328400.0,8.739742102613777e-05
328500.0,8.739742102613798e-05
328600.0,8.739742102613791e-05
328700.0,8.739742102613779e-05
328800.0,8.739742102613793e-05
328900.0,8.739742102613788e-05
329000.0,8.739742102613777e-05
329100.0,8.739742102613796e-05
329200.0,8.739742102613791e-05
329300.0,8.739742102613777e-05
329400.0,8.739742102613798e-05
329500.0,8.739742102613788e-05
329600.0,8.739742102613779e-05
329700.0,8.739742102613796e-05
329800.0,8.739742102613791e-05
329900.0,8.739742102613781e-05
330000.0,8.739742102613795e-05
330100.0,8.739742102613791e-05
330200.0,8.739742102613779e-05
330300.0,8.739742102613795e-05
330400.0,8.73974210261379e-05
330500.0,8.739742102613779e-05
330600.0,8.739742102613796e-05
330700.0,8.739742102613791e-05
330800.0,8.739742102613777e-05
330900.0,8.739742102613796e-05
331000.0,8.73974210261379e-05
331100.0,8.739742102613779e-05
331200.0,8.739742102613798e-05
331300.0,8.73974210261379e-05
331400.0,8.739742102613777e-05
331500.0,8.739742102613796e-05
331600.0,8.739742102613791e-05
331700.0,8.739742102613779e-05
331800.0,8.739742102613795e-05
331900.0,8.739742102613791e-05
332000.0,8.739742102613777e-05
332100.0,8.739742102613796e-05
332200.0,8.739742102613791e-05
332300.0,8.739742102613779e-05
332400.0,8.739742102613795e-05
332500.0,8.739742102613791e-05
332600.0,8.739742102613779e-05
332700.0,8.739742102613793e-05
332800.0,8.739742102613791e-05
332900.0,8.739742102613779e-05
333000.0,8.739742102613795e-05
333100.0,8.739742102613791e-05
333200.0,8.739742102613779e-05
333300.0,8.739742102613796e-05
333400.0,8.73974210261379e-05
333500.0,8.739742102613777e-05
333600.0,8.739742102613795e-05
333700.0,8.739742102613791e-05
333800.0,8.739742102613779e-05
333900.0,8.739742102613796e-05
334000.0,8.739742102613791e-05
334100.0,8.739742102613777e-05
334200.0,8.739742102613795e-05
334300.0,8.739742102613791e-05
334400.0,8.739742102613781e-05
334500.0,8.739742102613793e-05
334600.0,8.739742102613791e-05
334700.0,8.739742102613779e-05
334800.0,8.739742102613795e-05
334900.0,8.739742102613791e-05
335000.0,8.739742102613776e-05
335100.0,8.739742102613796e-05
335200.0,8.739742102613791e-05
335300.0,8.739742102613779e-05
335400.0,8.739742102613796e-05
335500.0,8.739742102613791e-05
335600.0,8.739742102613779e-05
335700.0,8.739742102613796e-05
335800.0,8.739742102613791e-05
335900.0,8.739742102613776e-05
336000.0,8.739742102613796e-05
336100.0,8.739742102613791e-05
336200.0,8.739742102613779e-05
336300.0,8.739742102613798e-05
336400.0,8.73974210261379e-05
336500.0,8.739742102613777e-05
336600.0,8.739742102613798e-05
336700.0,8.73974210261379e-05
336800.0,8.739742102613777e-05
336900.0,8.739742102613798e-05
337000.0,8.73974210261379e-05
337100.0,8.739742102613776e-05
337200.0,8.739742102613798e-05
337300.0,8.73974210261379e-05
337400.0,8.739742102613777e-05
337500.0,8.739742102613795e-05
337600.0,8.73974210261379e-05
337700.0,8.739742102613779e-05
337800.0,8.739742102613796e-05
337900.0,8.739742102613788e-05
338000.0,8.739742102613777e-05
338100.0,8.739742102613796e-05
338200.0,8.739742102613791e-05
338300.0,8.739742102613779e-05
338400.0,8.739742102613795e-05
338500.0,8.73974210261379e-05
338600.0,8.739742102613779e-05
338700.0,8.739742102613795e-05
338800.0,8.73974210261379e-05
338900.0,8.739742102613779e-05
339000.0,8.739742102613795e-05
339100.0,8.73974210261379e-05
339200.0,8.739742102613779e-05
339300.0,8.739742102613795e-05
339400.0,8.73974210261379e-05
339500.0,8.739742102613777e-05
339600.0,8.739742102613798e-05
339700.0,8.73974210261379e-05
339800.0,8.739742102613777e-05
339900.0,8.739742102613796e-05
340000.0,8.739742102613791e-05
340100.0,8.739742102613779e-05
340200.0,8.739742102613796e-05
340300.0,8.73974210261379e-05
340400.0,8.739742102613779e-05
340500.0,8.739742102613796e-05
340600.0,8.739742102613791e-05
340700.0,8.739742102613779e-05
340800.0,8.739742102613793e-05
340900.0,8.739742102613791e-05
341000.0,8.739742102613777e-05
341100.0,8.739742102613795e-05
341200.0,8.739742102613791e-05
341300.0,8.739742102613781e-05
341400.0,8.739742102613793e-05
341500.0,8.739742102613791e-05
341600.0,8.739742102613779e-05
341700.0,8.739742102613795e-05
341800.0,8.739742102613791e-05
341900.0,8.739742102613781e-05
342000.0,8.739742102613793e-05
342100.0,8.739742102613791e-05
342200.0,8.739742102613777e-05
342300.0,8.739742102613795e-05
342400.0,8.739742102613791e-05
342500.0,8.739742102613777e-05
342600.0,8.739742102613795e-05
342700.0,8.739742102613791e-05
342800.0,8.739742102613781e-05
342900.0,8.739742102613792e-05
343000.0,8.739742102613791e-05
343100.0,8.739742102613777e-05
343200.0,8.739742102613796e-05
343300.0,8.739742102613791e-05
343400.0,8.739742102613776e-05
343500.0,8.739742102613796e-05
343600.0,8.739742102613791e-05
343700.0,8.739742102613779e-05
343800.0,8.739742102613799e-05
343900.0,8.739742102613791e-05
344000.0,8.739742102613777e-05
344100.0,8.739742102613796e-05
344200.0,8.739742102613791e-05
344300.0,8.739742102613776e-05
344400.0,8.739742102613796e-05
344500.0,8.739742102613791e-05
344600.0,8.739742102613779e-05
344700.0,8.739742102613796e-05
344800.0,8.739742102613791e-05
344900.0,8.739742102613776e-05
345000.0,8.739742102613796e-05
345100.0,8.739742102613791e-05
345200.0,8.739742102613779e-05
345300.0,8.739742102613799e-05
345400.0,8.739742102613791e-05
345500.0,8.739742102613777e-05
345600.0,8.739742102613796e-05
345700.0,8.73974210261379e-05
345800.0,8.739742102613777e-05
345900.0,8.739742102613795e-05
346000.0,8.73974210261379e-05
346100.0,8.739742102613779e-05
346200.0,8.739742102613795e-05
346300.0,8.73974210261379e-05
346400.0,8.739742102613779e-05
346500.0,8.739742102613796e-05
346600.0,8.739742102613791e-05
346700.0,8.739742102613777e-05
346800.0,8.739742102613796e-05
346900.0,8.73974210261379e-05
347000.0,8.739742102613779e-05
347100.0,8.739742102613798e-05
347200.0,8.73974210261379e-05
347300.0,8.739742102613777e-05
347400.0,8.739742102613796e-05
347500.0,8.739742102613791e-05
347600.0,8.739742102613779e-05
347700.0,8.739742102613795e-05
347800.0,8.739742102613791e-05
347900.0,8.739742102613777e-05
348000.0,8.739742102613796e-05
348100.0,8.739742102613791e-05
348200.0,8.739742102613779e-05
348300.0,8.739742102613798e-05
348400.0,8.73974210261379e-05
348500.0,8.739742102613777e-05
348600.0,8.739742102613796e-05
348700.0,8.739742102613791e-05
348800.0,8.739742102613779e-05
348900.0,8.739742102613796e-05
349000.0,8.739742102613788e-05
349100.0,8.739742102613777e-05
349200.0,8.739742102613796e-05
349300.0,8.739742102613791e-05
349400.0,8.739742102613779e-05
349500.0,8.739742102613795e-05
349600.0,8.739742102613791e-05
349700.0,8.739742102613777e-05
349800.0,8.739742102613795e-05
349900.0,8.739742102613791e-05
350000.0,8.739742102613777e-05
350100.0,8.739742102613795e-05
350200.0,8.739742102613791e-05
350300.0,8.739742102613781e-05
350400.0,8.739742102613793e-05
350500.0,8.739742102613791e-05
350600.0,8.739742102613779e-05
350700.0,8.739742102613795e-05
350800.0,8.739742102613791e-05
350900.0,8.739742102613781e-05
351000.0,8.739742102613793e-05
351100.0,8.739742102613791e-05
351200.0,8.739742102613781e-05
351300.0,8.739742102613795e-05
351400.0,8.739742102613791e-05
351500.0,8.739742102613779e-05
351600.0,8.739742102613793e-05
351700.0,8.739742102613791e-05
351800.0,8.739742102613781e-05
351900.0,8.739742102613795e-05
352000.0,8.739742102613791e-05
352100.0,8.739742102613779e-05
352200.0,8.739742102613796e-05
352300.0,8.73974210261379e-05
352400.0,8.739742102613776e-05
352500.0,8.739742102613798e-05
352600.0,8.739742102613791e-05
352700.0,8.739742102613774e-05
352800.0,8.739742102613795e-05
352900.0,8.739742102613791e-05
353000.0,8.739742102613779e-05
353100.0,8.739742102613798e-05
353200.0,8.739742102613791e-05
353300.0,8.739742102613774e-05
353400.0,8.739742102613795e-05
353500.0,8.739742102613791e-05
353600.0,8.739742102613781e-05
353700.0,8.739742102613795e-05
353800.0,8.739742102613791e-05
353900.0,8.739742102613776e-05
354000.0,8.739742102613796e-05
354100.0,8.739742102613791e-05
354200.0,8.739742102613779e-05
354300.0,8.739742102613798e-05
354400.0,8.73974210261379e-05
354500.0,8.739742102613777e-05
354600.0,8.739742102613796e-05
354700.0,8.73974210261379e-05
354800.0,8.739742102613777e-05
354900.0,8.739742102613796e-05
355000.0,8.73974210261379e-05
355100.0,8.739742102613779e-05
355200.0,8.739742102613796e-05
355300.0,8.73974210261379e-05
355400.0,8.739742102613777e-05
355500.0,8.739742102613798e-05
355600.0,8.73974210261379e-05
355700.0,8.739742102613777e-05
355800.0,8.739742102613795e-05
355900.0,8.739742102613791e-05
356000.0,8.739742102613777e-05
356100.0,8.739742102613796e-05
356200.0,8.73974210261379e-05
356300.0,8.739742102613779e-05
356400.0,8.739742102613798e-05
356500.0,8.739742102613788e-05
356600.0,8.739742102613777e-05
356700.0,8.739742102613796e-05
356800.0,8.739742102613791e-05
356900.0,8.739742102613779e-05
357000.0,8.739742102613796e-05
357100.0,8.739742102613788e-05
357200.0,8.739742102613779e-05
357300.0,8.739742102613798e-05
357400.0,8.739742102613791e-05
357500.0,8.739742102613777e-05
357600.0,8.739742102613796e-05
357700.0,8.73974210261379e-05
357800.0,8.739742102613779e-05
357900.0,8.739742102613795e-05
358000.0,8.73974210261379e-05
358100.0,8.739742102613779e-05
358200.0,8.739742102613793e-05
358300.0,8.739742102613791e-05
358400.0,8.739742102613777e-05
358500.0,8.739742102613795e-05
358600.0,8.739742102613791e-05
358700.0,8.739742102613781e-05
358800.0,8.739742102613793e-05
358900.0,8.739742102613791e-05
359000.0,8.739742102613781e-05
359100.0,8.739742102613795e-05
359200.0,8.739742102613791e-05
359300.0,8.739742102613779e-05
359400.0,8.739742102613793e-05
359500.0,8.739742102613791e-05
359600.0,8.739742102613781e-05
359700.0,8.739742102613795e-05
359800.0,8.739742102613791e-05
359900.0,8.739742102613777e-05
360000.0,8.739742102613795e-05
360100.0,8.739742102613791e-05
360200.0,8.739742102613777e-05
360300.0,8.739742102613795e-05
360400.0,8.739742102613791e-05
360500.0,8.739742102613779e-05
360600.0,8.739742102613792e-05
360700.0,8.739742102613791e-05
360800.0,8.739742102613781e-05
360900.0,8.739742102613798e-05
361000.0,8.739742102613791e-05
361100.0,8.739742102613777e-05
361200.0,8.739742102613796e-05
361300.0,8.739742102613791e-05
361400.0,8.739742102613776e-05
361500.0,8.739742102613795e-05
361600.0,8.739742102613791e-05
361700.0,8.739742102613779e-05
361800.0,8.739742102613798e-05
361900.0,8.73974210261379e-05
362000.0,8.739742102613777e-05
362100.0,8.739742102613798e-05
362200.0,8.73974210261379e-05
362300.0,8.739742102613777e-05
362400.0,8.739742102613796e-05
362500.0,8.739742102613791e-05
362600.0,8.739742102613776e-05
362700.0,8.739742102613795e-05
362800.0,8.739742102613791e-05
362900.0,8.739742102613779e-05
363000.0,8.739742102613799e-05
363100.0,8.739742102613791e-05
363200.0,8.739742102613777e-05
363300.0,8.739742102613798e-05
363400.0,8.73974210261379e-05
363500.0,8.739742102613777e-05
363600.0,8.739742102613795e-05
363700.0,8.73974210261379e-05
363800.0,8.739742102613781e-05
363900.0,8.739742102613795e-05
364000.0,8.73974210261379e-05
364100.0,8.739742102613779e-05
364200.0,8.739742102613793e-05
364300.0,8.73974210261379e-05
364400.0,8.739742102613781e-05
364500.0,8.739742102613795e-05
364600.0,8.73974210261379e-05
364700.0,8.739742102613779e-05
364800.0,8.739742102613795e-05
364900.0,8.73974210261379e-05
365000.0,8.739742102613779e-05
365100.0,8.739742102613795e-05
365200.0,8.73974210261379e-05
365300.0,8.739742102613779e-05
365400.0,8.739742102613798e-05
365500.0,8.73974210261379e-05
365600.0,8.739742102613777e-05
365700.0,8.739742102613796e-05
365800.0,8.739742102613791e-05
365900.0,8.739742102613777e-05
366000.0,8.739742102613796e-05
366100.0,8.73974210261379e-05
366200.0,8.739742102613779e-05
366300.0,8.739742102613796e-05
366400.0,8.739742102613791e-05
366500.0,8.739742102613777e-05
366600.0,8.739742102613796e-05
