M.D_b.Hplus Time [a],M.D_b.Hplus Hplus [mol/kg]
5.0,1.2238135808727907e-08
5.083333333333333,1.2238136024248865e-08
5.166666666666666,1.2238136245349867e-08
5.25,1.223813647203679e-08
5.333333333333333,1.2238136704314566e-08
5.416666666666666,1.2238136942187191e-08
5.5,1.2238137185657786e-08
5.583333333333333,1.2238137434728648e-08
5.666666666666666,1.2238137689401347e-08
5.75,1.2238137949676774e-08
5.833333333333333,1.2238138215555189e-08
5.916666666666666,1.22381384870363e-08
6.0,1.2238138764119287e-08
6.083333333333333,1.223813904680288e-08
6.166666666666666,1.2238139335085388e-08
6.25,1.2238139628964733e-08
6.333333333333333,1.2238139928438503e-08
6.416666666666666,1.2238140233503981e-08
6.5,1.2238140544158194e-08
6.583333333333333,1.223814086039791e-08
6.666666666666666,1.2238141182219705e-08
6.75,1.2238141509619964e-08
6.833333333333333,1.223814184259492e-08
6.916666666666666,1.2238142181140665e-08
7.0,1.2238142525253172e-08
7.083333333333333,1.2238142874928319e-08
7.166666666666666,1.2238143230161906e-08
7.25,1.2238143590949666e-08
7.333333333333333,1.2238143957287288e-08
7.416666666666666,1.2238144329170418e-08
7.5,1.223814470659467e-08
7.583333333333333,1.2238145089555652e-08
7.666666666666666,1.2238145478048951e-08
7.75,1.2238145872070174e-08
7.833333333333333,1.2238146271614925e-08
7.916666666666666,1.2238146676678816e-08
8.0,1.2238147087257487e-08
8.083333333333332,1.2238147503346605e-08
8.166666666666666,1.2238147924941862e-08
8.25,1.2238148352038984e-08
8.333333333333332,1.2238148784633733e-08
8.416666666666666,1.223814922272191e-08
8.5,1.2238149666299353e-08
8.583333333333332,1.2238150115361948e-08
8.666666666666666,1.223815056990562e-08
8.75,1.2238151029926338e-08
8.833333333333332,1.223815149542011e-08
8.916666666666666,1.2238151966383002e-08
9.0,1.2238152442811117e-08
9.083333333333332,1.2238152924700598e-08
9.166666666666666,1.223815341204764e-08
9.25,1.2238153904848479e-08
9.333333333333332,1.2238154403099396e-08
9.416666666666666,1.2238154906796716e-08
9.5,1.2238155415936806e-08
9.583333333333332,1.2238155930516063e-08
9.666666666666666,1.2238156450530937e-08
9.75,1.2238156975977908e-08
9.833333333333332,1.2238157506853506e-08
9.916666666666666,1.223815804315428e-08
10.0,1.223815858487681e-08
10.083333333333332,1.2238159132017734e-08
10.166666666666666,1.2238159684573707e-08
10.25,1.2238160242541414e-08
10.333333333333332,1.2238160805917574e-08
10.416666666666666,1.2238161374698931e-08
10.5,1.2238161948882259e-08
10.583333333333332,1.2238162528464356e-08
10.666666666666666,1.2238163113442048e-08
10.75,1.2238163703812185e-08
10.833333333333332,1.2238164299571628e-08
10.916666666666666,1.2238164900717273e-08
11.0,1.223816550724603e-08
11.083333333333332,1.2238166119154838e-08
11.166666666666666,1.2238166736440643e-08
11.25,1.2238167359100408e-08
11.333333333333332,1.2238167987131112e-08
11.416666666666666,1.223816862052975e-08
11.5,1.2238169259293343e-08
11.583333333333332,1.2238169903418916e-08
11.666666666666666,1.2238170552903502e-08
11.75,1.2238171207744151e-08
11.833333333333332,1.2238171867937924e-08
11.916666666666666,1.2238172533481894e-08
12.0,1.2238173204373143e-08
12.083333333333332,1.2238173880608762e-08
12.166666666666666,1.2238174562185846e-08
12.25,1.223817524910151e-08
12.333333333333332,1.223817594135287e-08
12.416666666666666,1.2238176638937036e-08
12.5,1.223817734185115e-08
12.583333333333332,1.2238178050092346e-08
12.666666666666666,1.223817876365776e-08
12.75,1.2238179482544536e-08
12.833333333333332,1.2238180206749833e-08
12.916666666666666,1.2238180936270804e-08
13.0,1.2238181671104618e-08
13.083333333333332,1.2238182411248428e-08
13.166666666666666,1.2238183156699408e-08
13.25,1.2238183907454736e-08
13.333333333333332,1.223818466351158e-08
13.416666666666666,1.2238185424867125e-08
13.5,1.2238186191518547e-08
13.583333333333332,1.223818696346303e-08
13.666666666666666,1.2238187740697771e-08
13.75,1.2238188523219951e-08
13.833333333333332,1.2238189311026765e-08
13.916666666666666,1.2238190104115408e-08
14.0,1.2238190902483079e-08
