M.D_b.zsat Time [a],M.D_b.zsat zsat [mol/kg]
59400.0,3756
59500.0,3756
59600.0,3756
59700.0,3756
59800.0,3756
59900.0,3756
60000.0,3756
60100.0,3756
60200.0,3756
60300.0,3756
60400.0,3756
60500.0,3756
60600.0,3756
60700.0,3756
60800.0,3756
60900.0,3756
61000.0,3756
61100.0,3756
61200.0,3756
61300.0,3756
61400.0,3756
61500.0,3756
61600.0,3756
61700.0,3756
61800.0,3756
61900.0,3756
62000.0,3756
62100.0,3756
62200.0,3756
62300.0,3756
62400.0,3756
62500.0,3756
62600.0,3756
62700.0,3756
62800.0,3756
62900.0,3756
63000.0,3756
63100.0,3756
63200.0,3756
63300.0,3756
63400.0,3756
63500.0,3756
63600.0,3756
63700.0,3756
63800.0,3756
63900.0,3756
64000.0,3756
64100.0,3756
64200.0,3756
64300.0,3756
64400.0,3756
64500.0,3756
64600.0,3756
64700.0,3756
64800.0,3756
64900.0,3756
65000.0,3756
65100.0,3756
65200.0,3756
65300.0,3756
65400.0,3756
65500.0,3756
65600.0,3756
65700.0,3756
65800.0,3756
65900.0,3756
66000.0,3756
66100.0,3756
66200.0,3756
66300.0,3756
66400.0,3756
66500.0,3756
66600.0,3756
66700.0,3756
66800.0,3756
66900.0,3756
67000.0,3756
67100.0,3756
67200.0,3756
67300.0,3756
67400.0,3756
67500.0,3756
67600.0,3756
67700.0,3756
67800.0,3755
67900.0,3755
68000.0,3755
68100.0,3755
68200.0,3755
68300.0,3755
68400.0,3755
68500.0,3755
68600.0,3755
68700.0,3755
68800.0,3755
68900.0,3755
69000.0,3755
69100.0,3755
69200.0,3755
69300.0,3755
69400.0,3755
69500.0,3755
69600.0,3755
69700.0,3755
69800.0,3755
69900.0,3755
70000.0,3755
70100.0,3755
70200.0,3755
70300.0,3755
70400.0,3755
70500.0,3755
70600.0,3755
70700.0,3755
70800.0,3755
70900.0,3755
71000.0,3755
71100.0,3755
71200.0,3755
71300.0,3755
71400.0,3755
71500.0,3755
71600.0,3755
71700.0,3755
71800.0,3755
71900.0,3755
72000.0,3755
72100.0,3755
72200.0,3755
72300.0,3755
72400.0,3755
72500.0,3755
72600.0,3755
72700.0,3755
72800.0,3755
72900.0,3755
73000.0,3755
73100.0,3755
73200.0,3755
73300.0,3755
73400.0,3755
73500.0,3755
73600.0,3755
73700.0,3755
73800.0,3755
73900.0,3755
74000.0,3755
74100.0,3755
74200.0,3755
74300.0,3755
74400.0,3755
74500.0,3755
74600.0,3755
74700.0,3755
74800.0,3755
74900.0,3755
75000.0,3755
75100.0,3755
75200.0,3755
75300.0,3755
75400.0,3755
75500.0,3755
75600.0,3755
75700.0,3755
75800.0,3755
75900.0,3755
76000.0,3755
76100.0,3755
76200.0,3755
76300.0,3755
76400.0,3755
76500.0,3755
76600.0,3755
76700.0,3755
76800.0,3755
76900.0,3755
77000.0,3755
77100.0,3755
77200.0,3755
77300.0,3755
77400.0,3755
77500.0,3755
77600.0,3755
77700.0,3755
77800.0,3755
77900.0,3755
78000.0,3755
78100.0,3755
78200.0,3755
78300.0,3755
78400.0,3755
78500.0,3755
78600.0,3755
78700.0,3755
78800.0,3755
78900.0,3755
79000.0,3755
79100.0,3755
79200.0,3755
79300.0,3755
79400.0,3755
79500.0,3755
79600.0,3755
79700.0,3755
79800.0,3755
79900.0,3755
80000.0,3755
80100.0,3755
80200.0,3755
80300.0,3755
80400.0,3755
80500.0,3755
80600.0,3755
80700.0,3755
80800.0,3755
80900.0,3755
81000.0,3755
81100.0,3755
81200.0,3755
81300.0,3755
81400.0,3755
81500.0,3755
81600.0,3755
81700.0,3755
81800.0,3755
81900.0,3755
82000.0,3755
82100.0,3755
82200.0,3755
82300.0,3755
82400.0,3755
82500.0,3755
82600.0,3755
82700.0,3755
82800.0,3755
82900.0,3755
83000.0,3755
83100.0,3755
83200.0,3755
83300.0,3755
83400.0,3755
83500.0,3755
83600.0,3755
83700.0,3755
83800.0,3755
83900.0,3755
84000.0,3755
84100.0,3755
84200.0,3755
84300.0,3755
84400.0,3755
84500.0,3755
84600.0,3755
84700.0,3755
84800.0,3755
84900.0,3755
85000.0,3755
85100.0,3755
85200.0,3755
85300.0,3755
85400.0,3755
85500.0,3755
85600.0,3755
85700.0,3755
85800.0,3755
85900.0,3755
86000.0,3755
86100.0,3755
86200.0,3755
86300.0,3755
86400.0,3755
86500.0,3755
86600.0,3755
86700.0,3755
86800.0,3755
86900.0,3755
87000.0,3755
87100.0,3755
87200.0,3755
87300.0,3755
87400.0,3755
87500.0,3755
87600.0,3755
87700.0,3755
87800.0,3755
87900.0,3755
88000.0,3755
88100.0,3755
88200.0,3755
88300.0,3755
88400.0,3755
88500.0,3755
88600.0,3755
88700.0,3755
88800.0,3755
88900.0,3755
89000.0,3755
89100.0,3755
89200.0,3755
89300.0,3755
89400.0,3755
89500.0,3755
89600.0,3755
89700.0,3755
89800.0,3755
89900.0,3755
90000.0,3755
90100.0,3755
90200.0,3755
90300.0,3755
90400.0,3755
90500.0,3755
90600.0,3755
90700.0,3755
90800.0,3755
90900.0,3755
91000.0,3755
91100.0,3755
91200.0,3755
91300.0,3755
91400.0,3755
91500.0,3755
91600.0,3755
91700.0,3755
91800.0,3755
91900.0,3755
92000.0,3755
92100.0,3755
92200.0,3755
92300.0,3755
92400.0,3755
92500.0,3755
92600.0,3755
92700.0,3755
92800.0,3755
92900.0,3755
