M.L_b.pH Time [a],M.L_b.pH pH [mol/kg]
489700.0,8.268006973781965
489800.0,8.268006973781965
489900.0,8.268006973781965
490000.0,8.268006973781965
490100.0,8.268006973781965
490200.0,8.268006973781965
490300.0,8.268006973781965
490400.0,8.268006973781965
490500.0,8.268006973781965
490600.0,8.268006973781965
490700.0,8.268006973781965
490800.0,8.268006973781965
490900.0,8.268006973781965
491000.0,8.268006973781965
491100.0,8.268006973781965
491200.0,8.268006973781965
491300.0,8.268006973781965
491400.0,8.268006973781965
491500.0,8.268006973781965
491600.0,8.268006973781965
491700.0,8.268006973781965
491800.0,8.268006973781965
491900.0,8.268006973781965
492000.0,8.268006973781965
492100.0,8.268006973781965
492200.0,8.268006973781965
492300.0,8.268006973781965
492400.0,8.268006973781965
492500.0,8.268006973781965
492600.0,8.268006973781965
492700.0,8.268006973781965
492800.0,8.268006973781965
492900.0,8.268006973781965
493000.0,8.268006973781965
493100.0,8.268006973781965
493200.0,8.268006973781965
493300.0,8.268006973781965
493400.0,8.268006973781965
493500.0,8.268006973781965
493600.0,8.268006973781965
493700.0,8.268006973781965
493800.0,8.268006973781965
493900.0,8.268006973781965
494000.0,8.268006973781965
494100.0,8.268006973781965
494200.0,8.268006973781965
494300.0,8.268006973781965
494400.0,8.268006973781965
494500.0,8.268006973781965
494600.0,8.268006973781965
494700.0,8.268006973781965
494800.0,8.268006973781965
494900.0,8.268006973781965
495000.0,8.268006973781965
495100.0,8.268006973781965
495200.0,8.268006973781965
495300.0,8.268006973781965
495400.0,8.268006973781965
495500.0,8.268006973781965
495600.0,8.268006973781965
495700.0,8.268006973781965
495800.0,8.268006973781965
495900.0,8.268006973781965
496000.0,8.268006973781965
496100.0,8.268006973781965
496200.0,8.268006973781965
496300.0,8.268006973781965
496400.0,8.268006973781965
496500.0,8.268006973781965
496600.0,8.268006973781965
496700.0,8.268006973781965
496800.0,8.268006973781965
496900.0,8.268006973781965
497000.0,8.268006973781965
497100.0,8.268006973781965
497200.0,8.268006973781965
497300.0,8.268006973781965
497400.0,8.268006973781965
497500.0,8.268006973781965
497600.0,8.268006973781965
497700.0,8.268006973781965
497800.0,8.268006973781965
497900.0,8.268006973781965
498000.0,8.268006973781965
498100.0,8.268006973781965
498200.0,8.268006973781965
498300.0,8.268006973781965
498400.0,8.268006973781965
498500.0,8.268006973781965
498600.0,8.268006973781965
498700.0,8.268006973781965
