M.H_b.DIC Time [a],M.H_b.DIC DIC [mol/kg]
19000.0,0.002152048652134222
19100.0,0.0021520505537390043
19200.0,0.0021520524255358086
19300.0,0.0021520542680006924
19400.0,0.0021520560815986235
19500.0,0.0021520578667821003
19600.0,0.00215205962396622
19700.0,0.00215206135359317
19800.0,0.002152063052716778
19900.0,0.0021520646775008393
20000.0,0.002152066276026238
20100.0,0.00215206785310056
20200.0,0.002152069408210717
20300.0,0.0021520709404012094
20400.0,0.0021520724492187595
20500.0,0.0021520739346830675
20600.0,0.0021520754355720487
20700.0,0.002152076969007366
20800.0,0.0021520784742849173
20900.0,0.0021520799507797495
21000.0,0.002152081401233944
21100.0,0.0021520828282613853
21200.0,0.0021520842322139836
21300.0,0.0021520856136150214
21400.0,0.0021520869731174582
21500.0,0.002152088311251687
21600.0,0.00215208962832709
