M.D_b.CO2aq Time [a],M.D_b.CO2aq CO2aq [mol/kg]
834800.0,2.7666576776942754e-05
834900.0,2.7666576776942758e-05
835000.0,2.7666576776942765e-05
835100.0,2.7666576776942768e-05
835200.0,2.7666576776942775e-05
835300.0,2.766657677694278e-05
835400.0,2.7666576776942785e-05
835500.0,2.766657677694279e-05
835600.0,2.7666576776942795e-05
835700.0,2.7666576776942802e-05
835800.0,2.7666576776942805e-05
835900.0,2.7666576776942805e-05
836000.0,2.7666576776942812e-05
836100.0,2.7666576776942815e-05
836200.0,2.7666576776942822e-05
836300.0,2.7666576776942826e-05
836400.0,2.7666576776942832e-05
836500.0,2.7666576776942832e-05
836600.0,2.766657677694284e-05
836700.0,2.7666576776942843e-05
836800.0,2.766657677694285e-05
836900.0,2.7666576776942853e-05
837000.0,2.766657677694286e-05
837100.0,2.7666576776942863e-05
837200.0,2.766657677694287e-05
837300.0,2.7666576776942873e-05
837400.0,2.766657677694288e-05
837500.0,2.766657677694288e-05
837600.0,2.7666576776942883e-05
837700.0,2.766657677694289e-05
837800.0,2.7666576776942893e-05
837900.0,2.76665767769429e-05
838000.0,2.7666576776942907e-05
838100.0,2.766657677694291e-05
838200.0,2.7666576776942917e-05
838300.0,2.766657677694292e-05
838400.0,2.766657677694292e-05
838500.0,2.7666576776942927e-05
838600.0,2.766657677694293e-05
838700.0,2.7666576776942937e-05
838800.0,2.766657677694294e-05
838900.0,2.7666576776942948e-05
839000.0,2.766657677694295e-05
839100.0,2.7666576776942958e-05
839200.0,2.7666576776942964e-05
839300.0,2.7666576776942968e-05
839400.0,2.7666576776942968e-05
839500.0,2.7666576776942975e-05
839600.0,2.7666576776942975e-05
839700.0,2.7666576776942978e-05
839800.0,2.7666576776942985e-05
839900.0,2.7666576776942988e-05
840000.0,2.7666576776942988e-05
840100.0,2.7666576776942995e-05
840200.0,2.7666576776942995e-05
840300.0,2.7666576776943e-05
840400.0,2.7666576776943005e-05
840500.0,2.7666576776943005e-05
840600.0,2.766657677694301e-05
840700.0,2.766657677694301e-05
840800.0,2.7666576776943015e-05
840900.0,2.7666576776943015e-05
841000.0,2.7666576776943022e-05
841100.0,2.7666576776943025e-05
841200.0,2.7666576776943025e-05
841300.0,2.7666576776943032e-05
841400.0,2.7666576776943036e-05
841500.0,2.7666576776943042e-05
841600.0,2.7666576776943046e-05
841700.0,2.7666576776943053e-05
841800.0,2.7666576776943056e-05
841900.0,2.7666576776943056e-05
842000.0,2.7666576776943063e-05
842100.0,2.7666576776943063e-05
842200.0,2.7666576776943066e-05
842300.0,2.7666576776943073e-05
842400.0,2.7666576776943076e-05
842500.0,2.7666576776943083e-05
842600.0,2.766657677694309e-05
842700.0,2.7666576776943093e-05
842800.0,2.76665767769431e-05
842900.0,2.7666576776943103e-05
843000.0,2.766657677694311e-05
843100.0,2.7666576776943114e-05
843200.0,2.766657677694312e-05
843300.0,2.7666576776943124e-05
843400.0,2.766657677694313e-05
843500.0,2.7666576776943134e-05
843600.0,2.766657677694314e-05
843700.0,2.7666576776943147e-05
843800.0,2.766657677694315e-05
843900.0,2.7666576776943158e-05
844000.0,2.766657677694316e-05
844100.0,2.7666576776943168e-05
844200.0,2.766657677694317e-05
844300.0,2.7666576776943178e-05
844400.0,2.766657677694318e-05
844500.0,2.7666576776943188e-05
844600.0,2.7666576776943188e-05
844700.0,2.766657677694319e-05
844800.0,2.7666576776943198e-05
844900.0,2.7666576776943205e-05
845000.0,2.7666576776943205e-05
845100.0,2.766657677694321e-05
845200.0,2.7666576776943215e-05
845300.0,2.766657677694322e-05
845400.0,2.7666576776943225e-05
845500.0,2.766657677694323e-05
845600.0,2.7666576776943236e-05
845700.0,2.766657677694324e-05
845800.0,2.766657677694324e-05
845900.0,2.7666576776943246e-05
846000.0,2.766657677694325e-05
846100.0,2.7666576776943256e-05
846200.0,2.766657677694326e-05
846300.0,2.7666576776943266e-05
846400.0,2.7666576776943273e-05
846500.0,2.7666576776943276e-05
846600.0,2.7666576776943276e-05
846700.0,2.7666576776943283e-05
846800.0,2.7666576776943286e-05
846900.0,2.7666576776943293e-05
847000.0,2.7666576776943297e-05
847100.0,2.7666576776943303e-05
847200.0,2.7666576776943303e-05
847300.0,2.7666576776943307e-05
847400.0,2.7666576776943313e-05
847500.0,2.7666576776943317e-05
847600.0,2.7666576776943324e-05
847700.0,2.766657677694333e-05
847800.0,2.7666576776943334e-05
847900.0,2.766657677694334e-05
848000.0,2.7666576776943344e-05
848100.0,2.766657677694335e-05
848200.0,2.7666576776943354e-05
848300.0,2.766657677694336e-05
848400.0,2.7666576776943364e-05
848500.0,2.766657677694337e-05
848600.0,2.7666576776943374e-05
848700.0,2.766657677694338e-05
848800.0,2.7666576776943388e-05
848900.0,2.7666576776943388e-05
849000.0,2.766657677694339e-05
849100.0,2.7666576776943398e-05
849200.0,2.76665767769434e-05
849300.0,2.766657677694341e-05
849400.0,2.7666576776943412e-05
849500.0,2.766657677694342e-05
849600.0,2.7666576776943422e-05
849700.0,2.766657677694343e-05
849800.0,2.7666576776943432e-05
849900.0,2.7666576776943432e-05
850000.0,2.7666576776943432e-05
