M.D_b.zsnow Time [a],M.D_b.zsnow zsnow [mol/kg]
87300.0,4812.0000186444795
87400.0,4812.0000186444795
87500.0,4812.0000186444795
87600.0,4812.0000186444795
87700.0,4812.0000186444795
87800.0,4812.0000186444795
87900.0,4812.0000186444795
88000.0,4812.0000186444795
88100.0,4812.0000186444795
88200.0,4812.0000186444795
88300.0,4812.0000186444795
88400.0,4812.0000186444795
88500.0,4812.0000186444795
88600.0,4812.0000186444795
88700.0,4812.0000186444795
88800.0,4812.0000186444795
88900.0,4812.0000186444795
89000.0,4812.0000186444795
89100.0,4812.0000186444795
89200.0,4812.0000186444795
89300.0,4812.0000186444795
89400.0,4812.0000186444795
89500.0,4812.0000186444795
89600.0,4812.0000186444795
89700.0,4812.0000186444795
89800.0,4812.0000186444795
89900.0,4812.0000186444795
90000.0,4812.0000186444795
90100.0,4812.0000186444795
90200.0,4812.0000186444795
90300.0,4812.0000186444795
90400.0,4812.0000186444795
90500.0,4812.0000186444795
90600.0,4812.0000186444795
90700.0,4812.0000186444795
90800.0,4812.0000186444795
90900.0,4812.0000186444795
91000.0,4812.0000186444795
91100.0,4812.0000186444795
91200.0,4812.0000186444795
91300.0,4812.0000186444795
91400.0,4812.0000186444795
91500.0,4812.0000186444795
91600.0,4812.0000186444795
91700.0,4812.0000186444795
91800.0,4812.0000186444795
91900.0,4812.0000186444795
92000.0,4812.0000186444795
92100.0,4812.0000186444795
92200.0,4812.0000186444795
92300.0,4812.0000186444795
92400.0,4812.0000186444795
92500.0,4812.0000186444795
92600.0,4812.0000186444795
92700.0,4812.0000186444795
92800.0,4812.0000186444795
92900.0,4812.0000186444795
93000.0,4812.0000186444795
93100.0,4812.0000186444795
93200.0,4812.0000186444795
93300.0,4812.0000186444795
93400.0,4812.0000186444795
93500.0,4812.0000186444795
93600.0,4812.0000186444795
93700.0,4812.0000186444795
93800.0,4812.0000186444795
93900.0,4812.0000186444795
94000.0,4812.0000186444795
94100.0,4812.0000186444795
94200.0,4812.0000186444795
94300.0,4812.0000186444795
94400.0,4812.0000186444795
94500.0,4812.0000186444795
94600.0,4812.0000186444795
94700.0,4812.0000186444795
94800.0,4812.0000186444795
94900.0,4812.0000186444795
95000.0,4812.0000186444795
95100.0,4812.0000186444795
95200.0,4812.0000186444795
95300.0,4812.0000186444795
95400.0,4812.0000186444795
95500.0,4812.0000186444795
95600.0,4812.0000186444795
95700.0,4812.0000186444795
95800.0,4812.0000186444795
95900.0,4812.0000186444795
96000.0,4812.0000186444795
96100.0,4812.0000186444795
96200.0,4812.0000186444795
96300.0,4812.0000186444795
96400.0,4812.0000186444795
96500.0,4812.0000186444795
96600.0,4812.0000186444795
96700.0,4812.0000186444795
96800.0,4812.0000186444795
96900.0,4812.0000186444795
97000.0,4812.0000186444795
97100.0,4812.0000186444795
97200.0,4812.0000186444795
97300.0,4812.0000186444795
97400.0,4812.0000186444795
97500.0,4812.0000186444795
97600.0,4812.0000186444795
97700.0,4812.0000186444795
97800.0,4812.0000186444795
97900.0,4812.0000186444795
98000.0,4812.0000186444795
98100.0,4812.0000186444795
98200.0,4812.0000186444795
98300.0,4812.0000186444795
98400.0,4812.0000186444795
98500.0,4812.0000186444795
98600.0,4812.0000186444795
98700.0,4812.0000186444795
98800.0,4812.0000186444795
98900.0,4812.0000186444795
99000.0,4812.0000186444795
99100.0,4812.0000186444795
99200.0,4812.0000186444795
99300.0,4812.0000186444795
99400.0,4812.0000186444795
99500.0,4812.0000186444795
99600.0,4812.0000186444795
99700.0,4812.0000186444795
99800.0,4812.0000186444795
99900.0,4812.0000186444795
100000.0,4812.0000186444795
100100.0,4812.0000186444795
100200.0,4812.0000186444795
100300.0,4812.0000186444795
100400.0,4812.0000186444795
100500.0,4812.0000186444795
100600.0,4812.0000186444795
100700.0,4812.0000186444795
100800.0,4812.0000186444795
100900.0,4812.0000186444795
101000.0,4812.0000186444795
101100.0,4812.0000186444795
101200.0,4812.0000186444795
101300.0,4812.0000186444795
101400.0,4812.0000186444795
101500.0,4812.0000186444795
101600.0,4812.0000186444795
101700.0,4812.0000186444795
