M.H_b.TA Time [a],M.H_b.TA TA [mol/kg]
19000.0,0.0023483702649943665
19100.0,0.002348373678234521
19200.0,0.0023483770380038015
19300.0,0.002348380345141664
19400.0,0.0023483836004749626
19500.0,0.0023483868048121068
19600.0,0.0023483899588961615
19700.0,0.0023483930635198524
19800.0,0.0023483961148140792
19900.0,0.0023483990500940666
20000.0,0.0023484019334765933
20100.0,0.0023484047728521665
20200.0,0.002348407568738689
20300.0,0.0023484103211938692
20400.0,0.0023484130305742087
20500.0,0.0023484156975010382
20600.0,0.002348418374156828
20700.0,0.002348421092517477
20800.0,0.0023484237742896126
20900.0,0.002348426413668463
21000.0,0.0023484290113147547
21100.0,0.0023484315694819913
21200.0,0.0023484340877365593
21300.0,0.002348436566458257
21400.0,0.0023484390062986538
21500.0,0.002348441407988297
21600.0,0.002348443772004074
21700.0,0.0023484460989916744
