M.CP Time [a],M.CP CO2 [mol/kg]
15.583333333333332,2674850000000.0
15.666666666666666,2674850000000.0
15.75,2674850000000.0
15.833333333333332,2674850000000.0
15.916666666666666,2674850000000.0
16.0,2674850000000.0
16.083333333333332,2674850000000.0
16.166666666666664,2674850000000.0
16.25,2674850000000.0
16.333333333333332,2674850000000.0
16.416666666666664,2674850000000.0
16.5,2674850000000.0
16.583333333333332,2674850000000.0
16.666666666666664,2674850000000.0
16.75,2674850000000.0
16.833333333333332,2674850000000.0
16.916666666666664,2674850000000.0
17.0,2674850000000.0
17.083333333333332,2674850000000.0
17.166666666666664,2674850000000.0
17.25,2674850000000.0
17.333333333333332,2674850000000.0
17.416666666666664,2674850000000.0
17.5,2674850000000.0
17.583333333333332,2674850000000.0
17.666666666666664,2674850000000.0
17.75,2674850000000.0
