M.D_b.Fdiss Time [a],M.D_b.Fdiss Fdiss [mol/kg]
62900.0,47998323768695.69
63000.0,47998348969940.95
63100.0,47998373792290.44
63200.0,47998398241440.984
63300.0,47998422323003.78
63400.0,47998446042505.7
63500.0,47998469405390.516
63600.0,47998492417019.97
63700.0,47998515082675.41
63800.0,47998537407558.66
63900.0,47998559396793.45
64000.0,47998581055426.19
64100.0,47998602388427.7
64200.0,47998623400693.766
64300.0,47998644097047.03
64400.0,47998664482232.72
64500.0,47998684560937.42
64600.0,47998704337766.234
64700.0,47998723817257.17
64800.0,47998743003880.84
64900.0,47998761902040.36
65000.0,47998780516072.97
65100.0,47998798850250.53
65200.0,47998816908780.67
65300.0,47998834695807.67
65400.0,47998852215413.95
65500.0,47998869471619.91
65600.0,47998886468385.89
65700.0,47998903209612.66
65800.0,47998919699142.016
65900.0,47998935940758.44
66000.0,47998951938189.375
66100.0,47998967695105.92
66200.0,47998983215124.39
66300.0,47998998501806.375
66400.0,47999013558657.53
66500.0,47999028389138.17
66600.0,47999042996650.03
66700.0,47999057384544.984
66800.0,47999071556125.016
66900.0,47999085514642.234
67000.0,47999099263299.97
67100.0,47999112805253.72
67200.0,47999126143611.016
67300.0,47999139281432.95
67400.0,47999152221734.69
67500.0,47999164967485.7
67600.0,47999177521611.22
67700.0,47999189886992.2
67800.0,47999713901011.09
67900.0,47999717687174.22
68000.0,47999721610847.97
68100.0,47999725599578.94
68200.0,47999729604591.95
68300.0,47999733596453.38
68400.0,47999737557396.266
68500.0,47999741476787.08
68600.0,47999745348382.734
68700.0,47999749168649.25
68800.0,47999752935724.555
68900.0,47999756648777.055
69000.0,47999760307608.45
69100.0,47999763912408.14
69200.0,47999767463601.086
69300.0,47999770961753.42
69400.0,47999774407514.32
69500.0,47999777801579.72
69600.0,47999781144670.25
69700.0,47999784437517.53
69800.0,47999787680855.53
69900.0,47999790875415.56
70000.0,47999794021923.28
70100.0,47999797121096.41
70200.0,47999800173643.94
70300.0,47999803180265.26
70400.0,47999806141650.25
70500.0,47999809058478.805
70600.0,47999811931420.945
70700.0,47999814761136.6
70800.0,47999817548275.914
70900.0,47999820293479.57
71000.0,47999822997378.22
71100.0,47999825660593.64
71200.0,47999828283737.695
71300.0,47999830867413.336
71400.0,47999833412214.375
71500.0,47999835918725.95
71600.0,47999838387523.95
71700.0,47999840819175.83
71800.0,47999843214240.445
71900.0,47999845573268.586
72000.0,47999847896802.195
72100.0,47999850185375.445
72200.0,47999852439514.25
72300.0,47999854659736.64
72400.0,47999856846553.16
72500.0,47999859000466.445
72600.0,47999861121971.42
72700.0,47999863211555.92
72800.0,47999865269699.95
72900.0,47999867296876.836
73000.0,47999869293552.33
73100.0,47999871260185.39
73200.0,47999873197228.16
73300.0,47999875105125.73
73400.0,47999876984316.7
73500.0,47999878835232.875
73600.0,47999880658299.836
73700.0,47999882453936.52
73800.0,47999884222555.766
73900.0,47999885964563.91
74000.0,47999887680361.47
74100.0,47999889370342.84
74200.0,47999891034896.58
74300.0,47999892674404.92
74400.0,47999894289244.92
74500.0,47999895879787.66
74600.0,47999897446398.81
74700.0,47999898989438.4
74800.0,47999900509261.11
74900.0,47999902006216.27
75000.0,47999903480648.02
75100.0,47999904932895.03
75200.0,47999906363291.39
75300.0,47999907772165.68
75400.0,47999909159841.81
75500.0,47999910526638.61
75600.0,47999911872870.41
75700.0,47999913198846.66
75800.0,47999914504871.88
75900.0,47999915791246.3
76000.0,47999917058265.83
76100.0,47999918306221.484
76200.0,47999919535400.03
76300.0,47999920746084.3
76400.0,47999921938552.3
76500.0,47999923113078.28
76600.0,47999924269932.125
76700.0,47999925409379.66
76800.0,47999926531682.766
76900.0,47999927637099.6
77000.0,47999928725884.18
77100.0,47999929798286.7
77200.0,47999930854553.695
77300.0,47999931894927.875
77400.0,47999932919648.29
77500.0,47999933928950.58
77600.0,47999934923066.81
77700.0,47999935902225.43
77800.0,47999936866651.33
77900.0,47999937816566.41
78000.0,47999938752188.89
78100.0,47999939673733.83
78200.0,47999940581413.03
78300.0,47999941475435.09
78400.0,47999942356005.45
78500.0,47999943223326.65
78600.0,47999944077597.92
78700.0,47999944919015.81
78800.0,47999945747773.484
78900.0,47999946564061.516
79000.0,47999947368067.54
79100.0,47999948159976.375
79200.0,47999948939970.12
79300.0,47999949708227.734
79400.0,47999950464926.09
79500.0,47999951210239.08
79600.0,47999951944337.836
79700.0,47999952667391.25
79800.0,47999953379565.625
79900.0,47999954081024.36
80000.0,47999954771928.88
80100.0,47999955452437.91
80200.0,47999956122707.8
80300.0,47999956782892.74
80400.0,47999957433144.55
80500.0,47999958073612.47
80600.0,47999958704443.805
80700.0,47999959325783.58
80800.0,47999959937774.58
80900.0,47999960540557.266
81000.0,47999961134270.49
81100.0,47999961719050.55
81200.0,47999962295031.99
81300.0,47999962862347.16
81400.0,47999963421126.36
81500.0,47999963971498.02
81600.0,47999964513588.68
81700.0,47999965047522.984
81800.0,47999965573423.586
81900.0,47999966091411.49
82000.0,47999966601605.625
82100.0,47999967104123.29
82200.0,47999967599080.01
82300.0,47999968086589.484
82400.0,47999968566763.94
82500.0,47999969039713.58
82600.0,47999969505546.95
82700.0,47999969964371.43
82800.0,47999970416292.41
82900.0,47999970861413.63
83000.0,47999971299837.53
83100.0,47999971731664.84
83200.0,47999972156994.75
83300.0,47999972575925.05
83400.0,47999972988552.05
83500.0,47999973394970.625
83600.0,47999973795274.164
83700.0,47999974189554.695
83800.0,47999974577902.77
83900.0,47999974960407.67
84000.0,47999975337157.45
84100.0,47999975708238.62
84200.0,47999976073736.4
84300.0,47999976433734.766
84400.0,47999976788316.484
84500.0,47999977137563.19
84600.0,47999977481555.08
84700.0,47999977820371.22
84800.0,47999978154089.375
84900.0,47999978482786.484
85000.0,47999978806537.98
85100.0,47999979125418.23
85200.0,47999979439500.5
85300.0,47999979748857.04
85400.0,47999980053558.92
85500.0,47999980353676.27
85600.0,47999980649277.92
85700.0,47999980940432.016
85800.0,47999981227205.27
85900.0,47999981509663.805
86000.0,47999981787872.305
86100.0,47999982061894.94
86200.0,47999982331794.56
86300.0,47999982597633.09
86400.0,47999982859471.94
86500.0,47999983117371.08
86600.0,47999983371389.77
86700.0,47999983621586.54
86800.0,47999983868018.72
86900.0,47999984110743.14
87000.0,47999984349815.445
87100.0,47999984585290.64
87200.0,47999984817222.82
87300.0,47999985045665.22
87400.0,47999985270670.55
87500.0,47999985492290.32
87600.0,47999985710575.58
87700.0,47999985925576.586
87800.0,47999986137342.5
87900.0,47999986345922.22
88000.0,47999986551363.69
88100.0,47999986753714.04
88200.0,47999986953019.805
88300.0,47999987149326.69
88400.0,47999987342679.92
88500.0,47999987533123.91
88600.0,47999987720702.586
88700.0,47999987905458.75
88800.0,47999988087435.15
88900.0,47999988266673.47
89000.0,47999988443214.98
89100.0,47999988617100.266
89200.0,47999988788369.17
89300.0,47999988957061.03
89400.0,47999989123214.84
89500.0,47999989286868.734
89600.0,47999989448060.195
89700.0,47999989606826.234
89800.0,47999989763203.5
89900.0,47999989917227.94
90000.0,47999990068934.89
90100.0,47999990218359.32
90200.0,47999990365535.33
90300.0,47999990510497.06
90400.0,47999990653277.7
90500.0,47999990793909.95
90600.0,47999990932426.28
90700.0,47999991068858.42
90800.0,47999991203237.84
90900.0,47999991335595.305
91000.0,47999991465961.28
91100.0,47999991594365.75
91200.0,47999991720838.2
91300.0,47999991845407.71
91400.0,47999991968103.04
91500.0,47999992088952.18
91600.0,47999992207983.16
91700.0,47999992325222.96
91800.0,47999992440698.84
91900.0,47999992554437.34
92000.0,47999992666464.42
92100.0,47999992776806.0
92200.0,47999992885487.195
92300.0,47999992992533.305
92400.0,47999993097968.78
92500.0,47999993201817.8
92600.0,47999993304104.31
92700.0,47999993404851.84
92800.0,47999993504083.48
92900.0,47999993601822.03
