M.D_b.zcc Time [a],M.D_b.zcc zcc [mol/kg]
112400.0,4812
112500.0,4812
112600.0,4812
112700.0,4812
112800.0,4812
112900.0,4812
113000.0,4812
113100.0,4812
113200.0,4812
113300.0,4812
113400.0,4812
113500.0,4812
113600.0,4812
113700.0,4812
113800.0,4812
113900.0,4812
114000.0,4812
114100.0,4812
114200.0,4812
114300.0,4812
114400.0,4812
114500.0,4812
114600.0,4812
114700.0,4812
114800.0,4812
114900.0,4812
115000.0,4812
115100.0,4812
115200.0,4812
115300.0,4812
115400.0,4812
115500.0,4812
115600.0,4812
115700.0,4812
115800.0,4812
115900.0,4812
116000.0,4812
116100.0,4812
116200.0,4812
116300.0,4812
116400.0,4812
116500.0,4812
116600.0,4812
116700.0,4812
116800.0,4812
116900.0,4812
117000.0,4812
117100.0,4812
117200.0,4812
117300.0,4812
117400.0,4812
117500.0,4812
117600.0,4812
117700.0,4812
117800.0,4812
117900.0,4812
118000.0,4812
118100.0,4812
118200.0,4812
118300.0,4812
118400.0,4812
118500.0,4812
118600.0,4812
118700.0,4812
118800.0,4812
118900.0,4812
119000.0,4812
119100.0,4812
119200.0,4812
119300.0,4812
119400.0,4812
119500.0,4812
119600.0,4812
119700.0,4812
119800.0,4812
119900.0,4812
120000.0,4812
120100.0,4812
120200.0,4812
120300.0,4812
120400.0,4812
120500.0,4812
120600.0,4812
120700.0,4812
120800.0,4812
120900.0,4812
121000.0,4812
121100.0,4812
121200.0,4812
121300.0,4812
121400.0,4812
121500.0,4812
121600.0,4812
121700.0,4812
121800.0,4812
121900.0,4812
122000.0,4812
122100.0,4812
122200.0,4812
122300.0,4812
122400.0,4812
122500.0,4812
122600.0,4812
122700.0,4812
122800.0,4812
122900.0,4812
123000.0,4812
123100.0,4812
123200.0,4812
123300.0,4812
123400.0,4812
123500.0,4812
123600.0,4812
123700.0,4812
123800.0,4812
123900.0,4812
124000.0,4812
124100.0,4812
124200.0,4812
124300.0,4812
124400.0,4812
124500.0,4812
124600.0,4812
124700.0,4812
124800.0,4812
124900.0,4812
125000.0,4812
125100.0,4812
125200.0,4812
125300.0,4812
125400.0,4812
125500.0,4812
125600.0,4812
125700.0,4812
125800.0,4812
125900.0,4812
126000.0,4812
126100.0,4812
126200.0,4812
126300.0,4812
126400.0,4812
126500.0,4812
126600.0,4812
126700.0,4812
126800.0,4812
126900.0,4812
127000.0,4812
127100.0,4812
127200.0,4812
127300.0,4812
127400.0,4812
127500.0,4812
127600.0,4812
127700.0,4812
127800.0,4812
127900.0,4812
128000.0,4812
128100.0,4812
128200.0,4812
128300.0,4812
128400.0,4812
128500.0,4812
128600.0,4812
128700.0,4812
128800.0,4812
128900.0,4812
129000.0,4812
129100.0,4812
129200.0,4812
129300.0,4812
129400.0,4812
129500.0,4812
129600.0,4812
129700.0,4812
129800.0,4812
129900.0,4812
130000.0,4812
130100.0,4812
130200.0,4812
130300.0,4812
130400.0,4812
130500.0,4812
130600.0,4812
130700.0,4812
130800.0,4812
130900.0,4812
131000.0,4812
131100.0,4812
131200.0,4812
131300.0,4812
131400.0,4812
131500.0,4812
131600.0,4812
131700.0,4812
131800.0,4812
131900.0,4812
132000.0,4812
132100.0,4812
132200.0,4812
132300.0,4812
132400.0,4812
132500.0,4812
132600.0,4812
132700.0,4812
132800.0,4812
132900.0,4812
133000.0,4812
133100.0,4812
133200.0,4812
133300.0,4812
133400.0,4812
133500.0,4812
133600.0,4812
133700.0,4812
133800.0,4812
133900.0,4812
134000.0,4812
134100.0,4812
134200.0,4812
134300.0,4812
134400.0,4812
134500.0,4812
134600.0,4812
134700.0,4812
134800.0,4812
134900.0,4812
135000.0,4812
135100.0,4812
135200.0,4812
135300.0,4812
135400.0,4812
135500.0,4812
135600.0,4812
135700.0,4812
135800.0,4812
135900.0,4812
136000.0,4812
136100.0,4812
136200.0,4812
136300.0,4812
136400.0,4812
136500.0,4812
136600.0,4812
136700.0,4812
136800.0,4812
136900.0,4812
137000.0,4812
137100.0,4812
137200.0,4812
137300.0,4812
137400.0,4812
137500.0,4812
137600.0,4812
137700.0,4812
137800.0,4812
137900.0,4812
138000.0,4812
138100.0,4812
138200.0,4812
138300.0,4812
138400.0,4812
138500.0,4812
138600.0,4812
138700.0,4812
138800.0,4812
138900.0,4812
139000.0,4812
139100.0,4812
139200.0,4812
139300.0,4812
139400.0,4812
139500.0,4812
139600.0,4812
139700.0,4812
139800.0,4812
139900.0,4812
140000.0,4812
140100.0,4812
140200.0,4812
140300.0,4812
140400.0,4812
140500.0,4812
140600.0,4812
140700.0,4812
140800.0,4812
140900.0,4812
141000.0,4812
141100.0,4812
141200.0,4812
141300.0,4812
141400.0,4812
141500.0,4812
141600.0,4812
141700.0,4812
141800.0,4812
141900.0,4812
142000.0,4812
142100.0,4812
142200.0,4812
142300.0,4812
142400.0,4812
142500.0,4812
142600.0,4812
142700.0,4812
142800.0,4812
142900.0,4812
143000.0,4812
143100.0,4812
143200.0,4812
143300.0,4812
143400.0,4812
143500.0,4812
143600.0,4812
143700.0,4812
143800.0,4812
143900.0,4812
144000.0,4812
144100.0,4812
144200.0,4812
144300.0,4812
144400.0,4812
144500.0,4812
144600.0,4812
144700.0,4812
144800.0,4812
144900.0,4812
145000.0,4812
145100.0,4812
145200.0,4812
145300.0,4812
145400.0,4812
145500.0,4812
145600.0,4812
145700.0,4812
145800.0,4812
145900.0,4812
146000.0,4812
146100.0,4812
146200.0,4812
146300.0,4812
146400.0,4812
146500.0,4812
146600.0,4812
146700.0,4812
146800.0,4812
146900.0,4812
147000.0,4812
147100.0,4812
147200.0,4812
147300.0,4812
147400.0,4812
147500.0,4812
147600.0,4812
147700.0,4812
147800.0,4812
147900.0,4812
148000.0,4812
148100.0,4812
148200.0,4812
148300.0,4812
148400.0,4812
148500.0,4812
148600.0,4812
148700.0,4812
148800.0,4812
148900.0,4812
149000.0,4812
149100.0,4812
149200.0,4812
149300.0,4812
149400.0,4812
149500.0,4812
149600.0,4812
149700.0,4812
149800.0,4812
149900.0,4812
150000.0,4812
150100.0,4812
150200.0,4812
150300.0,4812
150400.0,4812
150500.0,4812
150600.0,4812
150700.0,4812
150800.0,4812
150900.0,4812
151000.0,4812
151100.0,4812
151200.0,4812
151300.0,4812
151400.0,4812
151500.0,4812
151600.0,4812
151700.0,4812
151800.0,4812
151900.0,4812
152000.0,4812
152100.0,4812
152200.0,4812
152300.0,4812
152400.0,4812
152500.0,4812
152600.0,4812
152700.0,4812
152800.0,4812
152900.0,4812
153000.0,4812
153100.0,4812
153200.0,4812
153300.0,4812
153400.0,4812
153500.0,4812
153600.0,4812
153700.0,4812
153800.0,4812
153900.0,4812
154000.0,4812
154100.0,4812
154200.0,4812
154300.0,4812
154400.0,4812
154500.0,4812
154600.0,4812
154700.0,4812
154800.0,4812
154900.0,4812
155000.0,4812
155100.0,4812
155200.0,4812
155300.0,4812
155400.0,4812
155500.0,4812
155600.0,4812
155700.0,4812
155800.0,4812
155900.0,4812
156000.0,4812
156100.0,4812
156200.0,4812
156300.0,4812
156400.0,4812
156500.0,4812
156600.0,4812
156700.0,4812
156800.0,4812
156900.0,4812
157000.0,4812
157100.0,4812
157200.0,4812
157300.0,4812
157400.0,4812
157500.0,4812
157600.0,4812
157700.0,4812
157800.0,4812
157900.0,4812
158000.0,4812
158100.0,4812
158200.0,4812
158300.0,4812
158400.0,4812
158500.0,4812
158600.0,4812
158700.0,4812
158800.0,4812
158900.0,4812
159000.0,4812
159100.0,4812
159200.0,4812
159300.0,4812
159400.0,4812
159500.0,4812
159600.0,4812
159700.0,4812
159800.0,4812
159900.0,4812
160000.0,4812
160100.0,4812
160200.0,4812
160300.0,4812
160400.0,4812
160500.0,4812
160600.0,4812
160700.0,4812
160800.0,4812
160900.0,4812
161000.0,4812
161100.0,4812
161200.0,4812
161300.0,4812
161400.0,4812
161500.0,4812
161600.0,4812
161700.0,4812
161800.0,4812
161900.0,4812
162000.0,4812
162100.0,4812
162200.0,4812
162300.0,4812
162400.0,4812
162500.0,4812
162600.0,4812
162700.0,4812
162800.0,4812
162900.0,4812
163000.0,4812
163100.0,4812
163200.0,4812
163300.0,4812
163400.0,4812
163500.0,4812
163600.0,4812
163700.0,4812
163800.0,4812
163900.0,4812
164000.0,4812
164100.0,4812
164200.0,4812
164300.0,4812
164400.0,4812
164500.0,4812
164600.0,4812
164700.0,4812
164800.0,4812
164900.0,4812
165000.0,4812
165100.0,4812
165200.0,4812
165300.0,4812
165400.0,4812
165500.0,4812
165600.0,4812
165700.0,4812
165800.0,4812
165900.0,4812
166000.0,4812
166100.0,4812
166200.0,4812
166300.0,4812
166400.0,4812
166500.0,4812
166600.0,4812
166700.0,4812
166800.0,4812
166900.0,4812
167000.0,4812
167100.0,4812
167200.0,4812
167300.0,4812
167400.0,4812
167500.0,4812
167600.0,4812
167700.0,4812
167800.0,4812
167900.0,4812
168000.0,4812
168100.0,4812
168200.0,4812
168300.0,4812
168400.0,4812
168500.0,4812
168600.0,4812
168700.0,4812
168800.0,4812
168900.0,4812
169000.0,4812
169100.0,4812
169200.0,4812
169300.0,4812
169400.0,4812
169500.0,4812
169600.0,4812
169700.0,4812
169800.0,4812
169900.0,4812
170000.0,4812
170100.0,4812
170200.0,4812
170300.0,4812
170400.0,4812
170500.0,4812
170600.0,4812
170700.0,4812
170800.0,4812
170900.0,4812
171000.0,4812
171100.0,4812
171200.0,4812
171300.0,4812
171400.0,4812
171500.0,4812
171600.0,4812
171700.0,4812
171800.0,4812
171900.0,4812
172000.0,4812
172100.0,4812
172200.0,4812
172300.0,4812
172400.0,4812
172500.0,4812
172600.0,4812
172700.0,4812
172800.0,4812
172900.0,4812
173000.0,4812
173100.0,4812
173200.0,4812
173300.0,4812
173400.0,4812
173500.0,4812
173600.0,4812
173700.0,4812
173800.0,4812
173900.0,4812
174000.0,4812
174100.0,4812
174200.0,4812
174300.0,4812
174400.0,4812
174500.0,4812
174600.0,4812
174700.0,4812
174800.0,4812
174900.0,4812
175000.0,4812
175100.0,4812
175200.0,4812
175300.0,4812
175400.0,4812
175500.0,4812
175600.0,4812
175700.0,4812
175800.0,4812
175900.0,4812
176000.0,4812
176100.0,4812
176200.0,4812
176300.0,4812
176400.0,4812
176500.0,4812
176600.0,4812
176700.0,4812
176800.0,4812
176900.0,4812
177000.0,4812
177100.0,4812
177200.0,4812
177300.0,4812
177400.0,4812
177500.0,4812
177600.0,4812
177700.0,4812
177800.0,4812
177900.0,4812
178000.0,4812
178100.0,4812
178200.0,4812
178300.0,4812
178400.0,4812
178500.0,4812
178600.0,4812
178700.0,4812
178800.0,4812
178900.0,4812
179000.0,4812
179100.0,4812
179200.0,4812
179300.0,4812
179400.0,4812
179500.0,4812
179600.0,4812
179700.0,4812
179800.0,4812
179900.0,4812
180000.0,4812
180100.0,4812
180200.0,4812
180300.0,4812
180400.0,4812
180500.0,4812
180600.0,4812
180700.0,4812
180800.0,4812
180900.0,4812
181000.0,4812
181100.0,4812
181200.0,4812
181300.0,4812
181400.0,4812
181500.0,4812
181600.0,4812
181700.0,4812
181800.0,4812
181900.0,4812
182000.0,4812
182100.0,4812
182200.0,4812
182300.0,4812
182400.0,4812
182500.0,4812
182600.0,4812
182700.0,4812
182800.0,4812
182900.0,4812
183000.0,4812
183100.0,4812
183200.0,4812
183300.0,4812
183400.0,4812
183500.0,4812
183600.0,4812
183700.0,4812
183800.0,4812
183900.0,4812
184000.0,4812
184100.0,4812
184200.0,4812
184300.0,4812
184400.0,4812
184500.0,4812
184600.0,4812
184700.0,4812
184800.0,4812
184900.0,4812
185000.0,4812
185100.0,4812
185200.0,4812
185300.0,4812
185400.0,4812
185500.0,4812
185600.0,4812
185700.0,4812
185800.0,4812
185900.0,4812
186000.0,4812
186100.0,4812
186200.0,4812
186300.0,4812
186400.0,4812
